Year,Nationality code,Sex,Age group,Immigrant count,Predictions_rnn_agg,Lower limit_agg,Upper limit_agg
2008,PRY,Both,55 - 64,302,285,180,290
2008,PRY,Both,65+,74,60,48,79
2008,PRY,Both,All,17407,14763,12954,19151
2008,PRY,Females,0 - 14,884,1294,1127,1749
2008,PRY,Females,15 - 24,4006,3560,3125,4749
2008,PRY,Both,25 - 34,5928,5346,4097,6193
2008,PRY,Females,25 - 34,3780,3388,2843,4329
2008,PRY,Females,45 - 54,852,726,516,814
2008,PRY,Females,55 - 64,230,255,141,230
2008,PRY,Females,65+,54,55,39,65
2008,PRY,Females,All,11436,10294,10049,14928
2008,PRY,Males,0 - 14,850,825,841,1313
2008,PRY,Males,15 - 24,1778,1629,1373,2122
2008,PRY,Males,25 - 34,2147,1803,1314,2033
2008,PRY,Females,35 - 44,1631,1300,1148,1781
2008,PRY,Both,15 - 24,5783,5042,4374,6603
2008,PRY,Both,0 - 14,1734,2008,1861,2858
2008,PAK,Males,All,7299,5847,4592,6926
2008,PAK,Both,65+,8,15,10,18
2008,PAK,Both,All,8872,8481,6562,9827
2008,PAK,Females,0 - 14,480,423,361,574
2008,PAK,Females,15 - 24,315,506,461,730
2008,PAK,Females,25 - 34,406,685,558,879
2008,PAK,Females,35 - 44,257,277,234,376
2008,PAK,Females,45 - 54,95,99,99,162
2008,PAK,Females,55 - 64,12,16,15,26
2008,PAK,Females,65+,5,4,3,6
2008,PAK,Females,All,1573,2101,1387,2143
2008,PAK,Males,0 - 14,759,1158,1030,1602
2008,PAK,Males,15 - 24,1889,1698,1651,2542
2008,PAK,Males,25 - 34,3059,2481,2069,3170
2008,PAK,Males,35 - 44,1229,1114,857,1338
2008,PAK,Males,45 - 54,322,367,327,520
2008,PAK,Males,55 - 64,38,51,35,59
2008,PAK,Males,65+,3,7,6,10
2008,PRY,Males,45 - 54,316,199,151,244
2008,RUS,Both,65+,135,164,110,180
2008,RUS,Both,All,5752,5461,4268,6446
2008,RUS,Females,0 - 14,559,773,553,872
2008,GBR,Females,All,11477,10479,9475,14091
2008,GBR,Males,0 - 14,1456,1182,1015,1579
2008,GBR,Males,15 - 24,577,775,741,1161
2008,GBR,Males,25 - 34,1394,1655,1408,2174
2008,GBR,Males,35 - 44,1799,1710,1388,2145
2008,GBR,Males,45 - 54,1989,1757,1744,2683
2008,GBR,Males,55 - 64,3170,2658,2479,3785
2008,GBR,Females,65+,1249,1566,1202,1863
2008,GBR,Males,65+,1896,1370,1400,2163
2008,USA,Both,0 - 14,766,657,512,808
2008,USA,Both,15 - 24,848,1085,802,1253
2008,USA,Both,25 - 34,831,941,782,1222
2008,USA,Both,35 - 44,514,423,350,557
2008,USA,Both,45 - 54,298,274,256,410
2008,USA,Both,55 - 64,227,223,169,274
2008,USA,Both,65+,205,180,161,261
2008,GBR,Males,All,12281,12251,10001,14857
2008,USA,Both,All,3690,3661,2903,4418
2008,GBR,Females,55 - 64,3119,2553,2040,3126
2008,GBR,Females,35 - 44,1591,1395,1231,1907
2008,UKR,Males,35 - 44,500,459,411,652
2008,UKR,Males,45 - 54,276,262,236,379
2008,UKR,Males,55 - 64,80,89,78,128
2008,UKR,Males,65+,28,29,27,46
2008,UKR,Males,All,2984,2832,2363,3612
2008,GBR,Both,0 - 14,2820,2338,2084,3193
2008,GBR,Both,15 - 24,1391,1697,1505,2321
2008,GBR,Females,45 - 54,1940,1680,1535,2366
2008,GBR,Both,25 - 34,2794,3284,2712,4134
2008,GBR,Both,45 - 54,3927,3500,3191,4848
2008,GBR,Both,55 - 64,6290,5338,4593,6927
2008,GBR,Both,65+,3146,3022,2683,4090
2008,GBR,Both,All,23758,22715,19020,27919
2008,GBR,Females,0 - 14,1365,1064,1019,1584
2008,GBR,Females,15 - 24,813,891,753,1178
2008,GBR,Females,25 - 34,1399,1440,1364,2108
2008,GBR,Both,35 - 44,3391,3289,2653,4045
2008,USA,Females,0 - 14,376,304,223,358
2008,USA,Females,15 - 24,466,530,398,632
2008,USA,Females,25 - 34,471,500,386,612
2008,VEN,Females,0 - 14,604,592,566,891
2008,VEN,Females,15 - 24,932,1097,753,1179
2008,VEN,Females,25 - 34,1690,1600,1224,1896
2008,VEN,Females,35 - 44,732,763,498,787
2008,VEN,Females,45 - 54,478,450,269,431
2008,VEN,Females,55 - 64,302,295,206,332
2008,VEN,Females,65+,165,201,147,239
2008,VEN,Both,All,8693,9159,6833,10226
2008,VEN,Females,All,4905,4665,4109,6211
2008,VEN,Males,15 - 24,864,858,505,797
2008,VEN,Males,25 - 34,1384,1254,927,1444
2008,VEN,Males,35 - 44,526,513,433,687
2008,VEN,Males,45 - 54,258,247,180,291
2008,VEN,Males,55 - 64,120,115,90,148
