Year,Nationality code,Sex,Age group,Immigrant count,Unemployment %,Political and Violence Percentile,Probability of dying young,Rule of Law Percentile,Salaried workers %,GDP_growth,Inflation_annual,Liberal democracy index,Continent,Sub-region,Health equality,Judicial accountability,One-sided violence_deaths,Non-state_deaths,Intrastate_deaths,Interstate_deaths,Number of residents,Political regime,Homicide Rate,Number of Turist,Spanish language,Restricciones_pandemia,Año post_pandemia
2008,PER,Females,35 - 44,2710,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,61747,7,5.27,44400000,1,0,0
2008,PER,Females,45 - 54,1190,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,61747,7,5.27,44400000,1,0,0
2008,PER,Females,55 - 64,380,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,61747,7,5.27,44400000,1,0,0
2008,PER,Females,65+,279,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,61747,7,5.27,44400000,1,0,0
2008,PER,Both,All,27523,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,121932,7,5.27,44400000,1,0,0
2008,PRT,Females,45 - 54,432,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,46297,7,1.17,44400000,0,0,0
2008,PRT,Females,55 - 64,145,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,46297,7,1.17,44400000,0,0,0
2008,PRT,Females,65+,141,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,46297,7,1.17,44400000,0,0,0
2008,ROU,Females,45 - 54,2646,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,338425,7,1.47,44400000,0,0,0
2008,ROU,Females,55 - 64,1015,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,338425,7,1.47,44400000,0,0,0
