Year,Nationality code,Sex,Age group,Immigrant count,Prediction_rn_noagg,Lower limit_noagg,Upper limit_noagg
2008,VEN,Males,45 - 54,258,207,168,341
2008,VEN,Males,55 - 64,120,127,120,250
2008,VEN,Males,65+,73,81,87,186
2008,VEN,Males,0 - 14,561,600,544,1009
2008,USA,Females,35 - 44,228,329,207,413
2008,USA,Females,45 - 54,131,217,122,253
2008,USA,Females,55 - 64,109,131,96,204
2008,USA,Females,65+,90,75,78,168
2008,USA,Males,0 - 14,389,526,289,562
2008,USA,Males,15 - 24,381,584,486,910
2008,USA,Males,25 - 34,358,628,449,844
2008,USA,Males,35 - 44,285,345,180,363
2008,USA,Males,45 - 54,167,226,104,220
2008,USA,Males,55 - 64,118,135,89,189
2008,USA,Males,65+,115,84,89,190
2008,UKR,Males,25 - 34,713,726,498,930
2008,UKR,Males,15 - 24,720,701,451,847
2008,UKR,Males,0 - 14,668,620,371,708
2008,RUS,Females,15 - 24,724,615,516,961
2008,RUS,Females,25 - 34,1076,968,778,1408
2008,RUS,Females,35 - 44,582,693,542,1006
2008,RUS,Females,45 - 54,511,511,382,727
2008,RUS,Females,55 - 64,238,317,218,433
2008,RUS,Females,65+,99,133,102,215
2008,RUS,Males,0 - 14,661,666,481,901
2008,RUS,Males,15 - 24,301,233,207,412
2008,RUS,Males,25 - 34,273,363,278,541
2008,RUS,Males,35 - 44,351,408,295,573
2008,RUS,Males,45 - 54,247,279,239,471
2008,RUS,Males,55 - 64,91,169,100,211
2008,RUS,Males,65+,36,57,35,81
2008,MAR,Females,55 - 64,514,583,658,1205
2008,UKR,Females,0 - 14,611,481,465,872
2008,UKR,Females,15 - 24,907,867,744,1350
2008,UKR,Females,25 - 34,919,1124,822,1483
2008,UKR,Females,35 - 44,633,707,450,847
2008,UKR,Females,45 - 54,528,476,379,721
2008,UKR,Females,55 - 64,199,298,186,373
2008,UKR,Females,65+,82,101,58,128
2008,MAR,Females,45 - 54,1376,1654,1281,2244
2008,MAR,Females,25 - 34,9527,8949,5407,8700
2008,CHN,Females,0 - 14,1853,2455,1230,2160
2008,CHN,Females,15 - 24,2482,3438,1657,2857
2008,CHN,Females,25 - 34,2715,2521,1944,3319
2008,CHN,Females,35 - 44,1963,1416,1061,1881
2008,CHN,Females,45 - 54,458,673,535,995
2008,CHN,Females,55 - 64,202,196,250,491
2008,CHN,Females,65+,111,135,129,268
2008,CHN,Males,0 - 14,2213,2214,1395,2431
2008,CHN,Males,15 - 24,2536,2352,1929,3295
2008,CHN,Males,25 - 34,2691,2062,2085,3544
2008,CHN,Males,35 - 44,2074,1331,956,1707
2008,CHN,Males,45 - 54,506,655,448,842
2008,CHN,Males,55 - 64,131,166,102,214
2008,CHN,Males,65+,144,95,58,129
2008,BGR,Females,35 - 44,920,1061,708,1290
2008,BGR,Females,45 - 54,654,667,484,906
2008,BGR,Females,55 - 64,322,294,265,518
2008,BGR,Females,65+,115,173,82,177
2008,BGR,Males,0 - 14,927,935,717,1305
2008,BGR,Males,15 - 24,1158,1173,953,1701
2008,BGR,Males,25 - 34,1415,1547,1088,1926
2008,BGR,Males,45 - 54,683,631,461,866
2008,BGR,Males,55 - 64,206,212,181,365
2008,BGR,Males,65+,44,81,39,90
2008,BGR,Males,35 - 44,962,1145,957,1709
2008,CUB,Females,15 - 24,997,800,589,1086
2008,CUB,Females,25 - 34,1194,1016,710,1293
2008,CUB,Females,35 - 44,1002,901,634,1163
2008,CUB,Females,45 - 54,534,627,473,887
2008,CUB,Females,55 - 64,408,306,275,536
2008,CUB,Females,65+,261,231,167,339
2008,CUB,Females,0 - 14,419,499,340,653
2008,COL,Males,65+,115,118,115,240
2008,COL,Males,55 - 64,244,209,214,425
2008,COL,Males,45 - 54,1173,861,583,1076
2008,COL,Females,0 - 14,3198,2888,2412,4063
2008,COL,Females,15 - 24,4386,4305,3187,5282
2008,COL,Females,25 - 34,5471,4881,4101,6700
2008,COL,Females,35 - 44,3420,2738,2161,3665
2008,COL,Females,45 - 54,1660,1450,1217,2139
2008,COL,Females,55 - 64,515,638,524,975
2008,COL,Females,65+,301,356,264,517
2008,COL,Males,0 - 14,3381,3268,2433,4097
2008,COL,Males,15 - 24,4307,3590,2740,4581
2008,COL,Males,25 - 34,4873,3872,2918,4861
2008,COL,Males,35 - 44,2996,2085,1264,2217
2008,BGR,Females,25 - 34,1279,1622,1059,1879
2008,BGR,Females,15 - 24,1256,1516,1011,1799
2008,BGR,Females,0 - 14,827,755,592,1092
2008,DZA,Males,65+,34,61,25,61
2008,DZA,Males,55 - 64,108,123,64,140
2008,ARG,Females,0 - 14,1012,969,668,1222
2008,ARG,Females,15 - 24,1264,1102,800,1446
2008,ARG,Females,25 - 34,2213,2123,1260,2210
2008,ARG,Females,35 - 44,860,932,609,1121
2008,ARG,Females,45 - 54,602,475,379,722
2008,ARG,Females,55 - 64,452,297,289,562
2008,DZA,Males,45 - 54,196,240,178,360
2008,DZA,Males,35 - 44,625,593,335,643
2008,DZA,Males,25 - 34,1464,1014,786,1421
2008,MAR,Females,35 - 44,4337,4028,2501,4205
2008,DZA,Females,0 - 14,330,378,288,560
2008,DZA,Females,15 - 24,465,298,274,535
2008,DZA,Females,25 - 34,687,543,428,809
2008,DZA,Females,35 - 44,263,267,189,379
2008,DZA,Females,45 - 54,117,103,105,220
2008,DZA,Females,55 - 64,77,84,47,107
2008,DZA,Females,65+,27,40,36,82
2008,DZA,Males,0 - 14,428,495,528,982
2008,DZA,Males,15 - 24,700,560,520,968
2008,ARG,Females,65+,362,288,224,443
2008,CUB,Males,0 - 14,469,572,408,773
2008,ARG,Males,15 - 24,1223,1158,757,1373
2008,BRA,Males,0 - 14,1647,1684,1092,1934
2008,BRA,Males,15 - 24,2307,2017,1546,2677
2008,BRA,Males,25 - 34,2880,2320,1882,3218
2008,BRA,Males,35 - 44,988,902,686,1253
2008,BRA,Males,45 - 54,340,313,200,400
2008,BRA,Males,55 - 64,85,78,58,129
2008,BRA,Females,65+,84,78,69,150
2008,BRA,Males,65+,27,30,19,46
2008,BRA,Females,55 - 64,235,248,182,367
2008,BRA,Females,45 - 54,727,706,425,803
2008,BRA,Females,35 - 44,1762,1729,935,1672
2008,ARG,Males,25 - 34,2451,2095,1256,2204
2008,ARG,Males,35 - 44,958,946,595,1098
2008,ARG,Males,45 - 54,460,403,334,642
2008,ARG,Males,55 - 64,276,179,191,384
2008,ARG,Males,65+,169,137,161,328
2008,BRA,Females,0 - 14,1578,1674,1114,1969
2008,BRA,Females,15 - 24,3243,2764,1832,3138
2008,BRA,Females,25 - 34,4583,3951,2388,4027
2008,ARG,Males,0 - 14,1062,1087,718,1307
2008,CUB,Males,15 - 24,632,568,489,915
2008,HND,Males,15 - 24,386,360,291,566
2008,HND,Females,0 - 14,223,505,314,607
2008,HND,Females,25 - 34,1282,1056,1079,1911
2008,HND,Females,35 - 44,512,565,452,850
2008,HND,Females,45 - 54,241,178,125,259
2008,HND,Females,55 - 64,55,48,31,74
2008,HND,Females,65+,19,22,15,38
2008,HND,Males,0 - 14,211,257,195,390
2008,HND,Females,15 - 24,838,745,782,1414
2008,CUB,Males,25 - 34,1081,907,621,1142
2008,DEU,Males,55 - 64,745,728,637,1169
2008,DEU,Females,0 - 14,583,472,427,805
2008,DEU,Females,15 - 24,939,1028,826,1489
2008,DEU,Females,25 - 34,1336,1144,938,1677
2008,DEU,Males,65+,870,744,504,939
2008,DEU,Females,35 - 44,792,632,543,1009
2008,DEU,Females,55 - 64,718,628,628,1154
2008,DEU,Females,65+,713,677,549,1018
2008,DEU,Males,0 - 14,506,524,427,806
2008,DEU,Males,15 - 24,452,610,555,1029
2008,DEU,Males,25 - 34,1119,1242,785,1421
2008,DEU,Males,35 - 44,1034,839,666,1218
2008,DEU,Females,45 - 54,653,596,491,917
2008,HND,Males,25 - 34,490,348,299,580
2008,HND,Males,35 - 44,217,151,104,218
2008,HND,Males,45 - 54,58,50,25,60
2008,ITA,Males,25 - 34,3822,3722,2368,3994
2008,ITA,Males,35 - 44,1458,1550,1021,1816
2008,ITA,Males,45 - 54,660,717,511,953
2008,ITA,Males,55 - 64,394,410,303,587
2008,ITA,Males,65+,256,281,204,408
2008,ITA,Males,15 - 24,1751,1574,1073,1902
2008,MAR,Females,0 - 14,5677,4806,3207,5314
2008,MAR,Females,15 - 24,9399,7217,4663,7564
2008,ITA,Males,0 - 14,770,1096,532,989
2008,ITA,Females,65+,275,347,228,451
2008,HND,Males,55 - 64,13,11,8,22
2008,HND,Males,65+,4,5,4,13
2008,ITA,Females,0 - 14,697,737,450,847
2008,ITA,Females,15 - 24,1427,1448,976,1741
2008,ITA,Females,25 - 34,2672,2661,1972,3363
2008,ITA,Females,35 - 44,812,875,699,1274
2008,ITA,Females,45 - 54,498,449,393,746
2008,ITA,Females,55 - 64,389,354,295,571
2008,DEU,Males,45 - 54,823,748,704,1283
2008,DOM,Males,0 - 14,1567,1763,1124,1987
2008,DOM,Males,15 - 24,1669,1789,1243,2182
2008,DOM,Males,25 - 34,1974,1762,1129,1993
2008,DOM,Males,35 - 44,1308,971,569,1053
2008,DOM,Males,45 - 54,422,382,186,374
