Year,Nationality code,Sex,Age group,Immigrant count,Prediction_rn_noagg,Lower limit_noagg,Upper limit_noagg
2011,BGR,Males,35 - 44,1010,684,606,1116
2011,BGR,Males,45 - 54,541,365,292,567
2011,BGR,Males,55 - 64,254,171,123,255
2011,BGR,Males,65+,95,59,41,94
2011,BGR,Males,25 - 34,1319,891,616,1133
2011,COL,Males,65+,138,96,71,154
2011,CUB,Females,0 - 14,408,358,274,535
2011,CUB,Females,15 - 24,766,609,428,808
2011,CUB,Females,25 - 34,809,775,595,1097
2011,CUB,Females,35 - 44,782,636,471,882
2011,CUB,Females,45 - 54,581,489,368,702
2011,CUB,Females,55 - 64,406,316,226,447
2011,CUB,Females,65+,261,250,211,420
2011,COL,Males,55 - 64,165,132,110,230
2011,COL,Males,45 - 54,310,305,225,446
2011,COL,Males,35 - 44,719,696,509,950
2011,COL,Females,0 - 14,1219,1048,814,1469
2011,COL,Females,15 - 24,1766,1880,1315,2299
2011,COL,Females,25 - 34,2145,1902,1597,2759
2011,COL,Females,35 - 44,810,961,770,1396
2011,COL,Females,45 - 54,557,524,397,754
2011,COL,Females,55 - 64,487,426,322,620
2011,COL,Females,65+,426,271,189,380
2011,COL,Males,0 - 14,1313,1137,741,1346
2011,COL,Males,15 - 24,1504,1511,914,1637
2011,COL,Males,25 - 34,1603,1520,1078,1910
2011,BGR,Females,15 - 24,1120,845,591,1090
2011,BGR,Females,0 - 14,674,487,379,721
2011,DZA,Males,55 - 64,132,125,69,151
2011,DZA,Males,65+,59,63,29,68
2011,DZA,Males,45 - 54,232,216,158,321
2011,ARG,Females,0 - 14,351,350,297,577
2011,ARG,Females,15 - 24,407,364,357,682
2011,ARG,Females,25 - 34,783,801,659,1206
2011,ARG,Females,35 - 44,331,383,299,579
2011,ARG,Females,45 - 54,218,225,171,346
2011,ARG,Females,55 - 64,240,226,163,331
2011,DZA,Males,35 - 44,527,463,299,580
2011,DZA,Males,15 - 24,393,444,382,727
2011,DZA,Males,25 - 34,798,712,572,1057
2011,DZA,Females,0 - 14,376,335,230,455
2011,DZA,Females,25 - 34,490,428,321,619
2011,DZA,Females,35 - 44,229,219,178,360
2011,DZA,Females,45 - 54,158,113,97,205
2011,DZA,Females,55 - 64,107,92,55,122
2011,DZA,Females,65+,65,47,33,77
2011,DZA,Males,0 - 14,378,361,404,766
2011,DZA,Females,15 - 24,313,261,208,415
2011,ARG,Females,65+,305,250,127,264
2011,ARG,Males,0 - 14,347,355,308,596
2011,BRA,Females,65+,107,78,42,97
2011,BRA,Males,0 - 14,763,493,443,834
2011,BRA,Males,15 - 24,813,749,567,1050
2011,BRA,Males,25 - 34,969,871,660,1208
2011,BRA,Males,35 - 44,306,420,288,559
2011,BRA,Males,45 - 54,123,120,94,200
2011,BRA,Females,55 - 64,216,179,107,226
2011,BRA,Males,55 - 64,65,46,28,66
2011,BRA,Males,65+,24,25,13,32
2011,BRA,Females,45 - 54,375,343,273,532
2011,BRA,Females,35 - 44,731,768,531,986
2011,BRA,Females,25 - 34,1673,1432,1192,2098
2011,ARG,Males,15 - 24,388,373,318,613
2011,ARG,Males,25 - 34,764,710,617,1134
2011,ARG,Males,35 - 44,344,359,283,550
2011,ARG,Males,45 - 54,180,184,138,284
2011,ARG,Males,55 - 64,129,129,90,191
2011,ARG,Males,65+,135,120,85,182
2011,BRA,Females,0 - 14,733,627,482,902
2011,BRA,Females,15 - 24,1047,997,945,1688
2011,CUB,Males,0 - 14,424,379,303,586
2011,CUB,Males,25 - 34,683,616,499,932
2011,HND,Females,0 - 14,446,392,314,606
2011,HND,Females,25 - 34,1657,1246,1011,1799
2011,HND,Females,35 - 44,842,671,572,1057
2011,HND,Females,45 - 54,329,235,171,346
2011,HND,Females,55 - 64,112,74,44,100
2011,HND,Females,65+,26,30,18,46
2011,HND,Males,0 - 14,386,309,221,438
2011,HND,Females,15 - 24,1423,993,890,1597
2011,MAR,Females,35 - 44,1607,1616,1245,2185
2011,DEU,Males,55 - 64,628,591,452,850
2011,DEU,Females,0 - 14,408,378,294,570
2011,DEU,Females,15 - 24,720,736,511,953
2011,DEU,Females,25 - 34,928,853,637,1169
2011,DEU,Females,35 - 44,470,488,385,731
2011,DEU,Males,65+,684,635,442,833
2011,DEU,Females,45 - 54,516,487,330,636
2011,DEU,Females,65+,553,553,460,864
2011,DEU,Males,0 - 14,362,397,270,528
2011,DEU,Males,15 - 24,346,401,324,625
2011,DEU,Males,25 - 34,762,816,542,1006
2011,DEU,Males,35 - 44,659,643,421,795
2011,DEU,Males,45 - 54,633,625,448,843
2011,DEU,Females,55 - 64,597,514,447,841
2011,HND,Males,25 - 34,374,335,240,473
2011,HND,Males,35 - 44,151,137,87,185
2011,HND,Males,45 - 54,51,44,23,56
2011,ITA,Males,25 - 34,2604,2441,1919,3278
2011,ITA,Males,35 - 44,1203,1053,809,1461
2011,ITA,Males,45 - 54,509,540,449,844
2011,ITA,Males,55 - 64,347,383,288,559
2011,ITA,Males,65+,308,281,230,455
2011,ITA,Males,15 - 24,1094,1019,833,1501
2011,MAR,Females,0 - 14,2111,2176,1689,2909
2011,MAR,Females,15 - 24,3974,3441,2488,4184
2011,ITA,Males,0 - 14,478,635,431,812
2011,ITA,Females,65+,306,295,237,467
2011,HND,Males,55 - 64,25,14,7,20
2011,HND,Males,65+,13,9,4,13
2011,ITA,Females,0 - 14,437,419,341,654
2011,ITA,Females,15 - 24,984,957,740,1344
2011,ITA,Females,25 - 34,2034,1765,1732,2977
2011,ITA,Females,35 - 44,652,594,580,1072
2011,ITA,Females,45 - 54,349,364,327,630
2011,ITA,Females,55 - 64,339,305,243,479
2011,HND,Males,15 - 24,424,333,316,609
2011,DOM,Males,0 - 14,982,1024,813,1468
2011,DOM,Males,15 - 24,1167,1069,892,1600
2011,DOM,Males,25 - 34,1390,970,880,1580
2011,DOM,Males,35 - 44,788,567,432,814
2011,DOM,Males,45 - 54,298,220,137,282
2011,DOM,Males,55 - 64,64,53,45,101
2011,DOM,Males,65+,48,32,24,58
2011,DOM,Females,65+,103,64,44,101
2011,DOM,Females,55 - 64,134,108,109,229
2011,DOM,Females,45 - 54,297,285,218,432
2011,CUB,Males,45 - 54,573,360,258,505
2011,CUB,Males,55 - 64,190,170,122,254
2011,CUB,Males,65+,169,141,108,227
2011,DOM,Females,0 - 14,895,888,715,1302
2011,DOM,Females,15 - 24,1513,1369,1070,1897
2011,DOM,Females,25 - 34,1812,1437,1105,1954
2011,DOM,Females,35 - 44,868,731,593,1094
2011,ECU,Females,0 - 14,841,723,677,1237
2011,ECU,Females,15 - 24,907,1081,855,1538
2011,CUB,Males,35 - 44,772,476,332,639
2011,ECU,Females,35 - 44,308,467,353,675
2011,FRA,Females,15 - 24,915,886,668,1222
2011,FRA,Females,25 - 34,1037,975,646,1184
2011,FRA,Females,35 - 44,463,381,330,634
2011,FRA,Females,45 - 54,287,299,203,406
2011,FRA,Females,55 - 64,350,355,224,443
2011,ECU,Females,25 - 34,807,975,831,1498
2011,FRA,Females,0 - 14,468,455,341,654
2011,FRA,Males,0 - 14,471,464,320,617
2011,FRA,Males,25 - 34,1108,1095,609,1120
2011,FRA,Males,35 - 44,660,570,439,828
2011,FRA,Males,45 - 54,389,412,295,573
2011,FRA,Males,55 - 64,398,417,299,580
2011,FRA,Males,65+,386,342,257,505
2011,FRA,Males,15 - 24,540,605,437,824
2011,FRA,Females,65+,334,398,259,507
2011,ECU,Females,55 - 64,131,105,95,202
2011,ECU,Females,65+,126,77,58,129
2011,ECU,Males,0 - 14,787,831,670,1226
2011,ECU,Males,15 - 24,924,980,917,1641
2011,ECU,Males,25 - 34,834,951,776,1405
2011,ECU,Males,35 - 44,370,470,296,574
2011,ECU,Females,45 - 54,207,272,205,408
2011,ECU,Males,55 - 64,60,49,51,114
2011,ECU,Males,65+,59,43,30,70
2011,ECU,Males,45 - 54,161,194,153,313
2012,PER,Males,35 - 44,366,357,209,416
2012,PER,Males,45 - 54,198,177,131,270
2012,PER,Males,55 - 64,78,84,52,117
2012,PER,Males,65+,78,82,62,138
2012,PRT,Females,0 - 14,311,305,195,391
2012,PRT,Females,15 - 24,435,413,311,601
2012,PRT,Females,25 - 34,620,561,449,844
2012,PER,Males,25 - 34,610,696,469,880
2012,PER,Males,0 - 14,445,532,356,681
2012,PRT,Females,35 - 44,318,323,254,498
2012,PER,Females,0 - 14,517,577,327,629
2012,PER,Females,15 - 24,659,603,412,780
2012,PER,Females,25 - 34,992,905,694,1266
2012,PER,Females,35 - 44,541,503,376,716
2012,PER,Females,45 - 54,300,298,272,530
2012,PER,Females,55 - 64,165,150,133,274
2012,PER,Females,65+,122,152,134,277
2012,PER,Males,15 - 24,518,484,339,650
2012,PRT,Females,45 - 54,192,184,144,296
2012,PRT,Females,65+,108,100,73,159
2012,ROU,Females,45 - 54,1398,1598,1369,2389
2012,ROU,Females,55 - 64,868,791,688,1257
2012,ROU,Females,65+,263,330,270,528
2012,ROU,Males,0 - 14,2405,2642,2063,3508
2012,ROU,Males,15 - 24,3314,4031,3445,5685
2012,ROU,Males,25 - 34,3241,3731,3482,5742
2012,ROU,Females,35 - 44,2264,2400,2043,3477
2012,ROU,Males,35 - 44,1976,2542,2285,3862
2012,ROU,Males,55 - 64,464,447,359,687
2012,ROU,Males,65+,128,147,118,247
2012,ROU,Males,45 - 54,834,1229,1058,1876
2012,PRT,Females,55 - 64,116,125,73,159
2012,ROU,Females,25 - 34,3288,4018,3849,6311
2012,ROU,Females,0 - 14,2304,2478,1948,3324
2012,PRT,Males,0 - 14,276,418,256,502
2012,PRT,Males,15 - 24,464,447,321,619
2012,PRT,Males,25 - 34,933,860,667,1220
2012,PRT,Males,35 - 44,727,780,484,906
2012,PRT,Males,45 - 54,435,369,285,555
2012,PRT,Males,55 - 64,178,191,112,235
2012,ROU,Females,15 - 24,4526,5173,3892,6378
2012,PRT,Males,65+,86,88,70,152
2012,PRY,Males,65+,7,12,6,17
2012,MAR,Females,65+,406,394,259,507
2012,PRY,Males,45 - 54,52,66,42,96
2012,NIC,Females,35 - 44,448,400,301,582
2012,NIC,Females,45 - 54,168,155,92,196
2012,NIC,Females,55 - 64,39,30,19,46
2012,NIC,Females,65+,3,7,4,11
2012,NIC,Males,0 - 14,137,99,62,136
2012,NIC,Males,15 - 24,134,178,113,236
2012,NIC,Females,25 - 34,859,865,703,1282
2012,NIC,Males,25 - 34,209,212,138,284
2012,NIC,Males,45 - 54,21,22,11,28
2012,NIC,Males,55 - 64,5,4,2,6
2012,NIC,Males,65+,2,2,1,2
2012,NIC,Males,35 - 44,63,77,50,113
2012,NIC,Females,15 - 24,522,471,424,801
2012,NIC,Females,0 - 14,159,125,78,169
2012,MAR,Males,0 - 14,1930,2303,1792,3075
2012,MAR,Males,15 - 24,2675,3169,2707,4530
2012,MAR,Males,25 - 34,3916,4134,3373,5573
2012,MAR,Males,35 - 44,2025,1787,1422,2475
2012,MAR,Males,45 - 54,716,661,518,965
2012,MAR,Males,55 - 64,320,362,211,420
2012,MAR,Males,65+,297,274,190,381
2012,PRY,Males,55 - 64,27,20,12,31
2012,PRY,Females,0 - 14,452,522,423,798
2012,PRY,Females,15 - 24,1095,1244,916,1641
2012,PRY,Females,25 - 34,987,1176,940,1680
2012,PRY,Females,35 - 44,414,513,415,785
2012,PRY,Females,55 - 64,118,121,82,177
2012,PRY,Females,65+,33,51,30,71
2012,PRY,Males,0 - 14,448,380,258,506
2012,PRY,Males,15 - 24,366,588,398,754
2012,PRY,Males,25 - 34,400,523,359,687
2012,PRY,Males,35 - 44,118,171,109,228
2012,PRY,Females,45 - 54,279,291,228,450
2012,PAK,Females,0 - 14,589,589,330,635
2012,PAK,Females,15 - 24,370,707,452,850
2012,PAK,Females,25 - 34,608,818,709,1291
2012,PAK,Females,35 - 44,301,373,304,588
2012,PAK,Females,45 - 54,118,153,105,221
2012,PAK,Females,55 - 64,23,32,27,64
2012,PAK,Females,65+,11,17,9,24
2012,PAK,Males,0 - 14,776,1046,897,1609
2012,PAK,Males,15 - 24,1679,2397,1303,2280
2012,PAK,Males,25 - 34,2301,2672,2075,3528
2012,PAK,Males,35 - 44,1151,1223,972,1734
2012,PAK,Males,45 - 54,332,363,269,526
2012,PAK,Males,55 - 64,74,52,45,102
2012,PAK,Males,65+,13,14,7,19
2012,UKR,Females,65+,77,79,54,121
2012,GBR,Males,0 - 14,755,779,563,1042
2012,GBR,Males,15 - 24,609,508,394,749
2012,GBR,Males,25 - 34,1167,1057,811,1464
2012,GBR,Males,35 - 44,1192,997,779,1410
2012,GBR,Males,45 - 54,1347,1418,1034,1838
2012,GBR,Males,55 - 64,1833,1898,1436,2497
2012,GBR,Females,65+,1119,1001,800,1446
2012,GBR,Males,65+,1744,1501,1008,1793
2012,GBR,Females,55 - 64,1809,1517,1347,2353
2012,GBR,Females,35 - 44,873,894,651,1193
2012,UKR,Males,35 - 44,208,238,176,355
2012,UKR,Males,45 - 54,139,158,124,258
2012,UKR,Males,55 - 64,59,79,58,128
2012,UKR,Males,65+,29,25,18,44
2012,GBR,Females,45 - 54,1157,1195,892,1601
2012,GBR,Females,0 - 14,677,729,481,900
2012,GBR,Females,15 - 24,887,761,462,867
2012,GBR,Females,25 - 34,1206,1125,846,1522
2012,USA,Females,0 - 14,377,342,237,467
2012,USA,Females,15 - 24,958,782,559,1035
2012,USA,Females,25 - 34,736,540,451,848
2012,VEN,Females,0 - 14,281,258,230,455
2012,VEN,Females,15 - 24,518,555,367,700
2012,VEN,Females,25 - 34,814,821,632,1161
2012,VEN,Females,35 - 44,358,402,299,579
2012,VEN,Females,45 - 54,275,284,173,349
2012,VEN,Females,55 - 64,282,284,175,354
2012,VEN,Females,65+,182,189,116,242
2012,VEN,Males,15 - 24,389,391,291,566
2012,VEN,Males,25 - 34,615,752,490,916
2012,VEN,Males,35 - 44,256,267,231,456
2012,VEN,Males,45 - 54,140,136,105,221
2012,VEN,Males,55 - 64,110,96,82,177
2012,VEN,Males,65+,102,76,63,139
2012,MAR,Females,55 - 64,479,479,312,602
2012,VEN,Males,0 - 14,286,271,267,522
2012,USA,Females,35 - 44,257,250,192,384
2012,USA,Females,45 - 54,169,173,105,222
2012,USA,Females,55 - 64,129,147,82,176
2012,USA,Females,65+,120,92,63,139
2012,USA,Males,0 - 14,392,375,255,500
2012,USA,Males,15 - 24,526,433,411,778
2012,USA,Males,25 - 34,545,472,361,689
2012,USA,Males,35 - 44,257,254,166,336
2012,USA,Males,45 - 54,187,162,96,204
2012,USA,Males,55 - 64,159,127,83,179
2012,USA,Males,65+,134,112,75,162
2012,UKR,Males,25 - 34,282,386,257,504
2012,UKR,Males,15 - 24,306,345,266,519
2012,UKR,Males,0 - 14,270,315,219,435
2012,RUS,Females,0 - 14,738,634,435,819
2012,RUS,Females,15 - 24,735,534,405,768
2012,RUS,Females,25 - 34,1173,969,619,1138
2012,RUS,Females,35 - 44,817,712,468,878
2012,RUS,Females,45 - 54,593,523,329,633
2012,RUS,Females,55 - 64,402,321,221,437
2012,RUS,Females,65+,174,143,114,238
2012,RUS,Males,0 - 14,829,650,451,849
2012,RUS,Males,15 - 24,339,253,161,328
2012,RUS,Males,25 - 34,416,341,253,497
2012,RUS,Males,35 - 44,589,437,308,596
2012,RUS,Males,45 - 54,481,293,244,480
2012,RUS,Males,55 - 64,262,159,118,247
2012,RUS,Males,65+,94,55,43,98
2012,UKR,Females,0 - 14,280,273,235,465
2012,UKR,Females,15 - 24,561,454,435,820
2012,UKR,Females,25 - 34,557,612,511,952
2012,UKR,Females,35 - 44,404,444,317,612
2012,UKR,Females,45 - 54,317,350,217,432
2012,UKR,Females,55 - 64,189,209,133,275
2012,MAR,Females,45 - 54,626,708,515,960
2012,MAR,Females,25 - 34,3002,3062,2514,4225
2012,CHN,Females,0 - 14,829,828,725,1318
2012,CHN,Females,15 - 24,1921,1957,1330,2324
2012,CHN,Females,25 - 34,1129,1356,1062,1883
2012,CHN,Females,35 - 44,729,765,638,1171
2012,CHN,Females,45 - 54,289,372,287,558
2012,CHN,Females,55 - 64,125,162,127,263
2012,CHN,Males,0 - 14,1007,1048,724,1317
2012,CHN,Males,15 - 24,1331,1162,1019,1813
2012,CHN,Males,25 - 34,779,972,831,1498
2012,CHN,Males,35 - 44,516,634,484,906
2012,CHN,Males,45 - 54,277,336,220,436
2012,CHN,Males,55 - 64,120,129,97,205
2012,CHN,Females,65+,81,84,60,132
2012,CHN,Males,65+,51,78,56,124
2012,BGR,Females,25 - 34,775,799,559,1036
2012,BGR,Females,35 - 44,540,558,433,817
2012,BGR,Females,45 - 54,348,370,271,530
2012,BGR,Females,55 - 64,256,235,170,344
2012,BGR,Females,65+,122,132,91,195
2012,BGR,Males,0 - 14,486,507,381,725
2012,BGR,Males,15 - 24,617,575,436,821
2012,BGR,Males,35 - 44,552,601,524,975
2012,BGR,Males,45 - 54,353,322,258,505
2012,BGR,Males,55 - 64,172,173,113,236
2012,BGR,Males,65+,58,60,42,96
2012,BGR,Males,25 - 34,734,778,526,979
2012,COL,Males,65+,125,90,69,151
2012,CUB,Females,0 - 14,347,330,254,498
2012,CUB,Females,15 - 24,577,567,406,769
2012,CUB,Females,25 - 34,601,724,572,1057
2012,CUB,Females,35 - 44,591,574,443,834
2012,CUB,Females,45 - 54,450,468,347,666
2012,CUB,Females,55 - 64,307,317,220,436
2012,CUB,Females,65+,283,251,224,444
2012,COL,Males,55 - 64,115,126,90,192
2012,COL,Males,45 - 54,252,251,197,394
2012,COL,Males,35 - 44,495,590,441,831
2012,COL,Females,0 - 14,801,815,694,1267
2012,COL,Females,15 - 24,1386,1451,1140,2013
2012,COL,Females,25 - 34,1547,1587,1464,2543
2012,COL,Females,35 - 44,681,767,686,1252
2012,COL,Females,45 - 54,420,433,357,683
2012,COL,Females,55 - 64,409,416,283,550
2012,COL,Females,65+,324,269,183,369
2012,COL,Males,0 - 14,902,890,636,1168
2012,COL,Males,15 - 24,1253,1195,769,1394
2012,COL,Males,25 - 34,1245,1395,955,1706
2012,BGR,Females,15 - 24,754,740,513,955
2012,BGR,Females,0 - 14,457,431,336,646
2012,DZA,Males,55 - 64,178,146,78,168
2012,DZA,Males,65+,63,75,35,80
2012,DZA,Males,45 - 54,323,252,168,341
2012,ARG,Females,0 - 14,258,265,208,415
2012,ARG,Females,15 - 24,285,302,236,466
2012,ARG,Females,25 - 34,546,636,492,919
2012,ARG,Females,35 - 44,284,289,227,449
2012,ARG,Females,45 - 54,151,164,118,246
2012,DZA,Males,35 - 44,555,539,312,603
2012,DZA,Males,25 - 34,703,770,566,1048
2012,DZA,Males,15 - 24,374,521,372,709
2012,DZA,Females,0 - 14,430,399,245,482
2012,DZA,Females,15 - 24,343,307,216,429
2012,DZA,Females,25 - 34,474,508,334,642
2012,DZA,Females,35 - 44,271,258,193,386
2012,DZA,Females,45 - 54,186,138,105,222
2012,DZA,Females,55 - 64,122,113,67,146
2012,DZA,Females,65+,61,60,39,90
2012,DZA,Males,0 - 14,437,429,409,775
2012,ARG,Females,55 - 64,173,199,113,237
2012,ARG,Females,65+,237,218,107,225
2012,ARG,Males,0 - 14,273,264,208,414
2012,BRA,Females,65+,59,82,45,102
2012,BRA,Males,0 - 14,568,433,363,693
2012,BRA,Males,15 - 24,945,650,481,900
2012,BRA,Males,25 - 34,652,760,544,1010
2012,BRA,Males,35 - 44,242,355,242,476
2012,BRA,Males,45 - 54,121,103,76,165
2012,BRA,Females,55 - 64,146,184,94,200
2012,BRA,Males,55 - 64,31,47,24,58
2012,BRA,Males,65+,20,26,14,36
2012,BRA,Females,45 - 54,260,289,232,458
2012,BRA,Females,35 - 44,538,658,466,875
2012,BRA,Females,25 - 34,1136,1159,990,1764
2012,ARG,Males,15 - 24,267,265,205,408
2012,ARG,Males,25 - 34,492,565,440,829
2012,ARG,Males,35 - 44,280,260,197,393
2012,ARG,Males,45 - 54,141,132,95,202
2012,ARG,Males,55 - 64,107,107,59,131
2012,ARG,Males,65+,110,105,70,153
2012,BRA,Females,0 - 14,563,558,421,795
2012,BRA,Females,15 - 24,1115,873,808,1459
2012,CUB,Males,0 - 14,366,349,280,546
2012,MAR,Females,35 - 44,1269,1291,1056,1874
2012,CUB,Males,25 - 34,498,581,475,890
2012,HND,Females,0 - 14,418,409,336,645
2012,HND,Females,25 - 34,1366,1313,999,1779
2012,HND,Females,35 - 44,642,660,562,1040
2012,HND,Females,45 - 54,241,224,175,353
2012,HND,Females,55 - 64,79,73,49,110
2012,HND,Females,65+,33,29,20,48
2012,HND,Males,0 - 14,381,363,229,452
2012,HND,Females,15 - 24,1202,1124,889,1596
2012,HND,Males,25 - 34,336,368,245,481
2012,DEU,Males,55 - 64,517,551,393,747
2012,DEU,Females,0 - 14,368,361,253,496
2012,DEU,Females,15 - 24,815,691,430,812
2012,DEU,Females,25 - 34,813,818,545,1011
2012,DEU,Females,35 - 44,463,431,333,640
2012,DEU,Males,65+,742,595,429,810
2012,DEU,Females,45 - 54,501,433,276,538
2012,DEU,Females,65+,650,541,451,847
2012,DEU,Males,0 - 14,376,375,230,455
2012,DEU,Males,15 - 24,407,372,277,539
2012,DEU,Males,25 - 34,626,760,484,906
2012,DEU,Males,35 - 44,589,581,365,697
2012,DEU,Males,45 - 54,636,568,390,741
2012,DEU,Females,55 - 64,503,497,385,732
2012,HND,Males,35 - 44,124,135,89,189
2012,HND,Males,45 - 54,42,39,26,62
2012,HND,Males,55 - 64,16,14,8,21
2012,ITA,Males,35 - 44,1349,1101,839,1511
2012,ITA,Males,45 - 54,673,601,469,879
2012,ITA,Males,55 - 64,375,419,312,602
2012,ITA,Males,65+,317,304,245,481
2012,ITA,Males,25 - 34,2381,2466,1978,3373
2012,MAR,Females,0 - 14,1590,1761,1458,2534
2012,MAR,Females,15 - 24,3194,2847,2156,3658
2012,CUB,Males,15 - 24,500,434,337,647
2012,ITA,Males,15 - 24,1137,1043,864,1553
2012,ITA,Males,0 - 14,539,654,458,860
2012,HND,Males,65+,9,9,5,13
2012,ITA,Females,0 - 14,493,443,363,693
2012,ITA,Females,15 - 24,1020,982,768,1392
2012,ITA,Females,25 - 34,1885,1843,1799,3085
2012,ITA,Females,35 - 44,734,673,595,1098
2012,ITA,Females,45 - 54,435,414,335,644
2012,ITA,Females,55 - 64,345,341,247,485
2012,ITA,Females,65+,332,318,247,486
2012,HND,Males,15 - 24,396,369,303,587
2012,DOM,Males,15 - 24,1341,991,818,1476
2012,DOM,Males,25 - 34,1125,912,818,1475
2012,DOM,Males,35 - 44,638,526,394,748
2012,DOM,Males,45 - 54,242,197,128,265
2012,DOM,Males,55 - 64,64,58,43,98
2012,DOM,Males,65+,28,34,26,61
2012,ECU,Females,0 - 14,619,565,485,908
2012,DOM,Females,65+,58,69,46,104
2012,DOM,Females,55 - 64,124,118,101,213
2012,DOM,Females,45 - 54,276,259,200,401
2012,CUB,Males,45 - 54,392,334,243,479
2012,CUB,Males,55 - 64,160,175,119,249
2012,CUB,Males,65+,150,141,114,238
2012,DOM,Females,0 - 14,958,832,651,1193
2012,DOM,Females,15 - 24,1705,1254,976,1741
2012,DOM,Females,25 - 34,1625,1285,991,1766
2012,DOM,Females,35 - 44,753,642,540,1003
2012,ECU,Females,15 - 24,780,891,632,1160
2012,ECU,Females,25 - 34,661,737,606,1116
2012,DOM,Males,0 - 14,1035,918,720,1310
2012,CUB,Males,35 - 44,508,432,305,591
2012,FRA,Females,0 - 14,442,444,301,584
2012,FRA,Females,15 - 24,804,841,599,1105
2012,FRA,Females,25 - 34,861,936,637,1170
2012,FRA,Females,35 - 44,412,371,313,604
2012,FRA,Females,45 - 54,281,286,202,403
2012,FRA,Females,55 - 64,341,346,222,440
2012,FRA,Females,65+,365,388,249,490
2012,FRA,Males,0 - 14,486,449,331,637
2012,FRA,Males,15 - 24,582,579,429,809
2012,FRA,Males,25 - 34,937,1073,606,1116
2012,FRA,Males,35 - 44,639,544,436,821
2012,FRA,Males,45 - 54,450,388,299,580
2012,FRA,Males,55 - 64,430,404,314,606
2012,FRA,Males,65+,403,343,257,503
2012,ECU,Females,35 - 44,260,360,263,515
2012,ECU,Females,55 - 64,100,102,68,148
2012,ECU,Females,65+,96,75,53,119
2012,ECU,Males,0 - 14,628,662,477,893
2012,ECU,Males,15 - 24,867,789,719,1309
2012,ECU,Males,25 - 34,806,794,602,1109
2012,ECU,Males,35 - 44,373,381,221,438
2012,ECU,Females,45 - 54,149,220,141,291
2012,ECU,Males,55 - 64,49,45,35,80
2012,ECU,Males,65+,35,42,28,67
2012,ECU,Males,45 - 54,157,164,108,226
2013,PER,Males,35 - 44,318,300,206,411
2013,PER,Males,45 - 54,153,172,132,273
2013,PER,Males,55 - 64,71,79,52,116
2013,PER,Males,65+,87,90,69,150
2013,PRT,Females,25 - 34,558,528,449,844
2013,PRT,Females,0 - 14,268,281,190,381
2013,PRT,Females,15 - 24,368,351,303,587
2013,PER,Males,25 - 34,619,620,464,870
2013,PER,Males,15 - 24,467,429,330,634
2013,PER,Females,0 - 14,397,506,320,617
2013,PRT,Females,35 - 44,339,309,252,495
2013,PER,Males,0 - 14,412,464,341,655
2013,PER,Females,15 - 24,530,512,407,770
2013,PER,Females,25 - 34,816,839,685,1251
2013,PER,Females,35 - 44,417,436,365,696
2013,PER,Females,45 - 54,236,292,265,518
2013,PER,Females,55 - 64,161,145,136,279
2013,PER,Females,65+,159,165,151,309
2013,PRT,Females,45 - 54,153,178,144,296
2013,PRT,Females,65+,92,94,73,159
2013,ROU,Females,45 - 54,1066,1441,1206,2121
2013,ROU,Females,55 - 64,627,818,625,1148
2013,ROU,Females,65+,250,350,277,540
2013,ROU,Males,0 - 14,2173,2345,1799,3085
2013,ROU,Males,15 - 24,2869,3635,3053,5073
2013,ROU,Males,25 - 34,2839,3438,3103,5152
2013,ROU,Females,35 - 44,1640,2165,1787,3066
2013,ROU,Males,35 - 44,1758,2438,2033,3460
2013,ROU,Males,55 - 64,384,457,324,624
2013,ROU,Males,65+,111,153,125,260
2013,PRY,Males,65+,13,15,6,16
2013,ROU,Males,45 - 54,755,1138,971,1731
2013,ROU,Females,25 - 34,2731,3571,3471,5725
2013,ROU,Females,15 - 24,3578,4553,3447,5687
2013,ROU,Females,0 - 14,1991,2223,1702,2928
2013,PRT,Males,0 - 14,301,368,254,499
2013,PRT,Males,15 - 24,344,385,318,614
2013,PRT,Males,25 - 34,720,792,665,1217
2013,PRT,Males,35 - 44,702,708,473,886
2013,PRT,Males,45 - 54,357,376,297,576
2013,PRT,Males,55 - 64,130,181,111,232
2013,PRT,Males,65+,71,84,69,150
2013,PRT,Females,55 - 64,96,118,76,164
2013,PRY,Males,55 - 64,25,25,13,34
2013,MAR,Females,55 - 64,466,504,314,606
2013,PRY,Males,35 - 44,127,140,106,224
2013,NIC,Females,25 - 34,603,917,699,1275
2013,NIC,Females,35 - 44,306,427,301,583
2013,NIC,Females,45 - 54,128,168,100,212
2013,NIC,Females,55 - 64,21,37,21,52
2013,NIC,Females,65+,12,9,6,17
2013,NIC,Males,0 - 14,130,112,70,152
2013,NIC,Females,15 - 24,471,518,438,825
2013,NIC,Males,15 - 24,140,200,117,244
2013,NIC,Males,35 - 44,37,84,53,118
2013,NIC,Males,45 - 54,18,25,12,31
2013,NIC,Males,55 - 64,7,5,2,7
2013,NIC,Males,65+,1,2,1,3
2013,NIC,Males,25 - 34,144,241,144,296
2013,NIC,Females,0 - 14,115,144,88,189
2013,MAR,Females,65+,338,416,272,530
2013,MAR,Males,0 - 14,1880,2120,1733,2978
2013,MAR,Males,15 - 24,2226,3000,2630,4408
2013,MAR,Males,25 - 34,3551,3714,3255,5389
2013,MAR,Males,35 - 44,2024,1695,1367,2384
2013,MAR,Males,45 - 54,774,713,520,967
