Grupo 1,Grupo 2,p-valor,Diferencias?
0,1,0.5797419488584734,No
0,2,3.2102117293586003e-17,Si
0,3,0.0004248194920335058,Si
0,6,0.07591951592946425,No
0,7,1.0,No
1,2,6.458774111846887e-13,Si
1,3,3.568170928360651e-13,Si
1,6,3.733542048300578e-09,Si
1,7,0.3723511439341009,No
2,3,1.9417238351419537e-51,Si
2,6,6.597456586793205e-47,Si
2,7,1.3066992863577534e-28,Si
3,6,0.12318453718088525,No
3,7,4.400942396875704e-18,Si
6,7,9.474824851668324e-14,Si
