Year,Nationality code,Sex,Age group,Immigrant count
2008,GBR,Females,35 - 44,1591
2008,UKR,Males,35 - 44,500
2008,UKR,Males,45 - 54,276
2008,UKR,Males,55 - 64,80
2008,UKR,Males,65+,28
2008,UKR,Males,All,2984
2008,GBR,Both,0 - 14,2820
2008,GBR,Both,15 - 24,1391
2008,GBR,Females,45 - 54,1940
2008,GBR,Both,25 - 34,2794
2008,GBR,Both,45 - 54,3927
2008,GBR,Both,55 - 64,6290
2008,GBR,Both,65+,3146
2008,GBR,Both,All,23758
2008,GBR,Females,0 - 14,1365
2008,GBR,Females,15 - 24,813
2008,GBR,Females,25 - 34,1399
2008,GBR,Both,35 - 44,3391
2008,USA,Females,0 - 14,376
2008,USA,Females,15 - 24,466
2008,USA,Females,25 - 34,471
2008,VEN,Females,0 - 14,604
2008,VEN,Females,15 - 24,932
2008,VEN,Females,25 - 34,1690
2008,VEN,Females,35 - 44,732
2008,VEN,Females,45 - 54,478
2008,VEN,Females,55 - 64,302
2008,VEN,Females,65+,165
2008,VEN,Both,All,8693
2008,VEN,Females,All,4905
2008,VEN,Males,15 - 24,864
2008,VEN,Males,25 - 34,1384
2008,VEN,Males,35 - 44,526
2008,VEN,Males,45 - 54,258
2008,VEN,Males,55 - 64,120
2008,VEN,Males,65+,73
2008,VEN,Males,All,3788
2008,VEN,Males,0 - 14,561
2008,VEN,Both,65+,238
2008,VEN,Both,55 - 64,423
2008,VEN,Both,45 - 54,737
2008,USA,Females,35 - 44,228
2008,USA,Females,45 - 54,131
2008,USA,Females,55 - 64,109
2008,USA,Females,65+,90
2008,USA,Females,All,1873
2008,USA,Males,0 - 14,389
2008,USA,Males,15 - 24,381
2008,USA,Males,25 - 34,358
2008,USA,Males,35 - 44,285
2008,USA,Males,45 - 54,167
2008,USA,Males,55 - 64,118
2008,USA,Males,65+,115
2008,USA,Males,All,1816
2008,VEN,Both,0 - 14,1168
2008,VEN,Both,15 - 24,1796
2008,VEN,Both,25 - 34,3074
2008,VEN,Both,35 - 44,1257
2008,UKR,Males,25 - 34,713
2008,UKR,Males,15 - 24,720
2008,UKR,Males,0 - 14,668
2008,UKR,Females,All,3879
2008,SEN,Both,65+,9
2008,SEN,Both,All,10568
2008,SEN,Females,0 - 14,241
2008,SEN,Females,15 - 24,469
2008,SEN,Females,25 - 34,754
2008,SEN,Females,35 - 44,268
2008,SEN,Females,45 - 54,52
2008,SEN,Both,55 - 64,37
2008,SEN,Females,55 - 64,11
2008,SEN,Females,All,1800
2008,SEN,Males,0 - 14,457
2008,SEN,Males,15 - 24,2216
2008,SEN,Males,25 - 34,4444
2008,SEN,Males,35 - 44,1386
2008,SEN,Males,45 - 54,233
2008,SEN,Males,55 - 64,26
2008,SEN,Females,65+,4
2008,SEN,Both,45 - 54,285
2008,SEN,Both,35 - 44,1654
2008,SEN,Both,25 - 34,5197
2008,RUS,Females,15 - 24,724
2008,RUS,Females,25 - 34,1076
2008,RUS,Females,35 - 44,582
2008,RUS,Females,45 - 54,511
2008,RUS,Females,55 - 64,238
2008,RUS,Females,65+,99
2008,RUS,Females,All,3790
2008,RUS,Males,0 - 14,661
2008,RUS,Males,15 - 24,301
2008,RUS,Males,25 - 34,273
2008,RUS,Males,35 - 44,351
2008,RUS,Males,45 - 54,247
2008,RUS,Males,55 - 64,91
2008,RUS,Males,65+,36
2008,RUS,Males,All,1962
2008,SEN,Both,0 - 14,700
2008,SEN,Both,15 - 24,2684
2008,SEN,Males,65+,5
2008,MAR,Females,55 - 64,514
2008,SEN,Males,All,8768
2008,UKR,Both,0 - 14,1281
2008,UKR,Both,15 - 24,1626
2008,UKR,Both,25 - 34,1632
2008,UKR,Both,35 - 44,1131
2008,UKR,Both,45 - 54,805
2008,UKR,Both,55 - 64,279
2008,UKR,Both,65+,110
2008,UKR,Females,0 - 14,611
2008,UKR,Females,15 - 24,907
2008,UKR,Females,25 - 34,919
2008,UKR,Females,35 - 44,633
2008,UKR,Females,45 - 54,528
2008,UKR,Females,55 - 64,199
2008,UKR,Females,65+,82
2008,UKR,Both,All,6863
2008,MAR,Females,45 - 54,1376
2008,RUS,Both,55 - 64,329
2008,MAR,Females,25 - 34,9527
2008,CHN,Both,All,20080
2008,CHN,Females,0 - 14,1853
2008,CHN,Females,15 - 24,2482
2008,CHN,Females,25 - 34,2715
2008,CHN,Females,35 - 44,1963
2008,CHN,Females,45 - 54,458
2008,CHN,Females,55 - 64,202
2008,CHN,Both,65+,255
2008,CHN,Females,65+,111
2008,CHN,Males,0 - 14,2213
2008,CHN,Males,15 - 24,2536
2008,CHN,Males,25 - 34,2691
2008,CHN,Males,35 - 44,2074
2008,CHN,Males,45 - 54,506
2008,CHN,Males,55 - 64,131
2008,CHN,Males,65+,144
2008,CHN,Females,All,9785
2008,CHN,Males,All,10295
2008,CHN,Both,55 - 64,333
2008,CHN,Both,35 - 44,4037
2008,BGR,Females,35 - 44,920
2008,BGR,Females,45 - 54,654
2008,BGR,Females,55 - 64,322
2008,BGR,Females,65+,115
2008,BGR,Females,All,5373
2008,BGR,Males,0 - 14,927
2008,BGR,Males,15 - 24,1158
2008,CHN,Both,45 - 54,965
2008,BGR,Males,25 - 34,1415
2008,BGR,Males,45 - 54,683
2008,BGR,Males,55 - 64,206
2008,BGR,Males,65+,44
2008,BGR,Males,All,5394
2008,CHN,Both,0 - 14,4067
2008,CHN,Both,15 - 24,5018
2008,CHN,Both,25 - 34,5405
2008,BGR,Males,35 - 44,962
2008,COL,Both,0 - 14,6580
2008,COL,Both,15 - 24,8693
2008,COL,Both,25 - 34,10344
2008,CUB,Both,0 - 14,890
2008,CUB,Both,15 - 24,1628
2008,CUB,Both,25 - 34,2275
2008,CUB,Both,35 - 44,2073
2008,CUB,Both,45 - 54,978
2008,CUB,Both,55 - 64,660
2008,CUB,Both,65+,407
2008,COL,Males,All,17089
2008,CUB,Both,All,8911
2008,CUB,Females,15 - 24,997
2008,CUB,Females,25 - 34,1194
2008,CUB,Females,35 - 44,1002
2008,CUB,Females,45 - 54,534
2008,CUB,Females,55 - 64,408
2008,CUB,Females,65+,261
2008,CUB,Females,All,4817
2008,CUB,Females,0 - 14,419
2008,COL,Males,65+,115
2008,COL,Males,55 - 64,244
2008,COL,Males,45 - 54,1173
2008,COL,Both,35 - 44,6416
2008,COL,Both,45 - 54,2832
2008,COL,Both,55 - 64,760
2008,COL,Both,65+,416
2008,COL,Both,All,36040
2008,COL,Females,0 - 14,3198
2008,COL,Females,15 - 24,4386
2008,COL,Females,25 - 34,5471
2008,COL,Females,35 - 44,3420
2008,COL,Females,45 - 54,1660
2008,COL,Females,55 - 64,515
2008,COL,Females,65+,301
2008,COL,Females,All,18951
2008,COL,Males,0 - 14,3381
2008,COL,Males,15 - 24,4307
2008,COL,Males,25 - 34,4873
2008,COL,Males,35 - 44,2996
2008,BGR,Females,25 - 34,1279
2008,BGR,Females,15 - 24,1256
2008,BGR,Females,0 - 14,827
2008,BGR,Both,All,10766
2008,DZA,Males,65+,34
2008,DZA,Males,All,3557
2008,ARG,Both,0 - 14,2071
2008,ARG,Both,15 - 24,2485
2008,ARG,Both,25 - 34,4664
2008,ARG,Both,35 - 44,1818
2008,ARG,Both,45 - 54,1061
2008,DZA,Males,55 - 64,108
2008,ARG,Both,55 - 64,729
2008,ARG,Both,All,13363
2008,ARG,Females,0 - 14,1012
2008,ARG,Females,15 - 24,1264
2008,ARG,Females,25 - 34,2213
2008,ARG,Females,35 - 44,860
2008,ARG,Females,45 - 54,602
2008,ARG,Females,55 - 64,452
2008,ARG,Both,65+,531
2008,DZA,Males,45 - 54,196
2008,DZA,Males,35 - 44,625
2008,DZA,Males,25 - 34,1464
2008,MAR,Females,35 - 44,4337
2008,DZA,Both,25 - 34,2151
2008,DZA,Both,35 - 44,888
2008,DZA,Both,45 - 54,313
2008,DZA,Both,55 - 64,185
2008,DZA,Both,65+,61
2008,DZA,Both,All,5524
2008,DZA,Females,0 - 14,330
2008,DZA,Females,15 - 24,465
2008,DZA,Females,25 - 34,687
2008,DZA,Females,35 - 44,263
2008,DZA,Females,45 - 54,117
2008,DZA,Females,55 - 64,77
2008,DZA,Females,65+,27
2008,DZA,Females,All,1968
2008,DZA,Males,0 - 14,428
2008,DZA,Males,15 - 24,700
2008,ARG,Females,65+,362
2008,CUB,Males,0 - 14,469
2008,ARG,Females,All,6764
2008,ARG,Males,15 - 24,1223
2008,BRA,Females,All,12214
2008,BRA,Males,0 - 14,1647
2008,BRA,Males,15 - 24,2307
2008,BRA,Males,25 - 34,2880
2008,BRA,Males,35 - 44,988
2008,BRA,Males,45 - 54,340
2008,BRA,Males,55 - 64,85
2008,BRA,Females,65+,84
2008,BRA,Males,65+,27
2008,BGR,Both,0 - 14,1752
2008,BGR,Both,15 - 24,2414
2008,BGR,Both,25 - 34,2695
2008,BGR,Both,35 - 44,1882
2008,BGR,Both,45 - 54,1336
2008,BGR,Both,55 - 64,529
2008,BGR,Both,65+,159
2008,BRA,Males,All,8275
2008,BRA,Females,55 - 64,235
2008,BRA,Females,45 - 54,727
2008,BRA,Females,35 - 44,1762
2008,ARG,Males,25 - 34,2451
