Year,Nationality code,Unemployment %,Political and Violence Percentile,Probability of dying young,Regulatory Quality Percentile,Rule of Law Percentile,Voice and Accountability Percentile,Salaried workers %,GDP_growth,Inflation_annual
2019,PRY,6.59,46.23,6.5,48.1,30.48,48.31,57.07,-0.4,3.06
2019,PER,3.38,41.98,4.3,69.52,32.38,55.07,47.09,2.24,1.87
2019,PRT,6.46,87.26,1.7,77.62,83.81,88.41,83.16,2.68,1.75
2019,ROU,3.91,63.68,2.7,66.19,63.81,64.25,75.77,3.85,6.81
2019,RUS,4.5,25.94,4.8,33.81,23.33,17.87,93.31,2.2,3.26
2019,SEN,2.86,48.58,5.6,46.19,47.14,54.11,34.32,4.61,2.09
2019,ESP,14.1,58.02,1.3,81.9,80.95,80.68,84.32,1.98,1.45
2019,UKR,8.19,8.96,3.7,44.76,24.76,46.86,82.36,3.2,8.25
2019,GBR,3.74,62.26,1.8,93.81,91.9,91.79,84.42,1.64,2.12
2019,USA,3.67,52.36,4.9,89.05,89.05,77.29,93.91,2.29,1.79
2019,VEN,5.92,8.49,15.3,0.48,0.48,9.66,60.47,-27.7,19906.02
2020,DZA,14.04,17.92,3.1,8.57,22.38,19.32,68.67,-5.1,-5.03
2020,ARG,11.46,45.28,4.5,33.33,34.29,65.7,73.0,-9.9,40.08
2020,BRA,13.7,31.13,7.6,47.62,46.19,57.0,67.49,-3.28,6.47
2020,BGR,5.12,58.49,3.2,65.71,49.05,56.04,88.93,-3.97,4.26
2020,CHN,5.0,27.83,2.5,44.29,51.43,4.83,53.45,2.24,0.49
2020,COL,15.98,21.23,7.0,59.05,33.81,53.14,48.81,-7.25,1.48
2020,CUB,1.4,65.57,2.9,5.24,43.33,10.14,73.7,-10.95,16.56
2020,DOM,6.13,52.36,8.2,54.29,47.62,54.59,56.89,-6.72,4.72
2020,ECU,6.13,37.26,5.9,18.1,31.9,45.41,45.59,-7.79,-0.4
2020,FRA,8.01,56.13,1.9,85.24,87.14,81.64,87.6,-7.54,2.84
2020,DEU,3.86,67.92,1.5,93.33,90.95,94.2,91.1,-3.83,1.87
2020,HND,10.68,29.72,6.1,33.81,16.67,30.43,53.51,-8.96,4.63
2020,ITA,9.16,58.02,1.3,68.1,57.62,81.16,77.48,-8.97,1.58
2020,MAR,11.73,33.96,3.1,50.0,47.14,30.92,50.86,-7.18,0.14
2020,NIC,6.28,25.47,5.9,27.62,10.0,18.36,56.48,-1.77,5.38
2020,PAK,6.22,5.19,5.9,24.29,24.76,23.67,40.73,-1.27,9.94
2020,PRY,7.55,48.11,6.4,45.71,37.14,48.31,54.48,-0.82,2.2
2020,PER,7.18,34.43,4.2,67.14,39.52,55.56,43.64,-10.87,3.92
2020,PRT,6.8,83.49,1.7,75.24,85.24,89.37,83.32,-8.3,2.0
2020,ROU,5.03,62.74,2.8,62.86,62.86,65.22,76.23,-3.68,4.11
2020,RUS,5.59,22.64,4.7,34.76,21.9,20.29,93.26,-2.65,0.9
2020,SEN,3.34,42.45,5.5,41.43,41.9,55.07,34.61,1.34,1.6
2020,ESP,15.53,58.96,1.3,73.81,76.67,80.19,83.93,-11.17,1.14
2020,UKR,9.48,12.26,3.7,42.38,25.24,51.69,82.27,-3.75,10.29
2020,GBR,4.47,61.32,1.8,92.38,90.0,88.89,84.31,-10.36,5.08
2020,USA,8.05,47.64,5.2,87.14,88.1,72.95,93.69,-2.77,1.3
2020,VEN,7.53,8.49,15.4,0.48,0.0,7.25,59.36,-30.0,2355.15
2021,DZA,13.73,15.57,3.0,10.0,22.38,20.77,68.8,3.4,15.57
2021,ARG,8.74,47.64,4.4,30.0,34.29,65.22,72.41,10.72,53.84
2021,BRA,13.16,31.13,7.6,47.14,41.9,56.04,66.48,4.99,11.38
2021,BGR,5.27,58.02,3.3,66.67,52.38,56.52,89.0,7.66,7.13
2021,CHN,4.55,28.3,2.5,40.0,52.86,5.31,53.82,8.45,4.55
2021,COL,13.9,16.51,7.2,60.0,34.76,51.21,48.74,11.02,7.67
2021,CUB,1.39,58.49,3.0,6.19,37.62,11.11,73.8,1.25,401.59
2021,DOM,7.7,55.66,8.1,56.19,49.05,57.0,56.14,12.27,7.78
2021,ECU,4.55,37.26,6.6,25.71,40.95,51.69,45.63,4.24,2.58
2021,FRA,7.86,56.6,1.9,85.71,87.14,85.51,87.38,6.44,1.42
2021,DEU,3.64,69.81,1.5,94.76,91.43,95.65,91.25,3.16,3.02
2021,HND,8.23,24.06,6.0,33.33,15.24,32.85,53.76,12.53,3.8
2021,ITA,9.5,63.68,1.3,68.57,58.1,83.57,78.17,8.31,1.28
2021,MAR,11.22,31.6,3.0,46.67,45.71,31.88,51.32,8.02,2.39
2021,NIC,6.27,29.25,5.8,19.52,7.14,14.49,56.76,10.35,3.56
2021,PAK,6.34,6.6,5.9,23.81,27.62,25.12,42.23,6.51,10.27
2021,PRY,7.31,47.17,6.3,44.76,31.43,46.86,55.76,4.02,8.45
2021,PER,5.1,33.49,4.2,55.24,32.38,53.62,46.54,13.42,8.45
2021,PRT,6.58,81.13,1.8,73.33,84.29,89.37,84.02,5.74,1.9
2021,ROU,5.59,64.15,2.8,61.9,62.38,64.25,76.5,5.71,5.45
2021,RUS,4.72,21.7,4.8,32.86,20.0,19.81,93.34,5.61,18.99
2021,SEN,3.32,41.51,5.4,40.95,39.05,54.59,35.08,6.54,1.63
2021,ESP,14.78,61.79,1.4,73.81,77.62,79.23,84.14,6.4,2.66
2021,UKR,9.83,12.74,3.9,42.38,25.71,49.28,82.36,3.45,24.8
2021,GBR,4.83,60.85,1.8,90.95,89.52,89.86,84.32,8.67,-0.12
2021,USA,5.35,46.7,5.7,90.48,89.05,74.4,93.42,5.95,4.49
2021,VEN,7.13,9.43,15.4,0.95,0.0,5.8,59.59,1.0,1221.47
2022,DZA,12.49,19.34,2.9,14.15,22.64,21.74,68.98,3.2,21.52
2022,ARG,6.8,46.7,4.3,25.94,34.91,62.8,72.39,4.96,69.47
2022,BRA,9.23,33.96,7.6,43.87,43.4,55.56,67.87,2.9,8.28
2022,BGR,4.27,52.36,3.3,61.79,49.53,57.0,88.91,3.93,16.18
2022,CHN,4.98,28.3,2.5,36.79,52.83,6.28,54.24,2.99,2.25
2022,COL,10.55,23.11,7.5,56.6,38.68,54.59,52.9,7.26,14.34
2022,CUB,1.25,61.32,3.1,7.08,36.32,12.08,74.09,1.77,14.16
2022,DOM,5.5,55.19,8.0,54.25,50.47,57.97,56.35,4.86,10.71
2022,ECU,3.76,38.68,7.7,35.38,26.89,48.79,46.7,2.95,5.26
2022,FRA,7.31,56.13,1.9,85.38,85.38,85.99,86.91,2.45,2.95
2022,DEU,3.14,67.45,1.6,92.45,91.98,94.69,91.25,1.81,5.27
2022,HND,7.0,25.0,5.9,33.49,16.98,34.3,54.08,4.0,9.15
2022,ITA,8.07,58.49,1.4,68.87,58.49,82.61,78.46,3.72,2.98
2022,MAR,9.99,34.43,3.0,49.06,44.81,32.85,51.85,1.26,3.05
2022,NIC,4.99,33.49,5.7,18.4,8.96,11.59,57.07,3.75,8.92
2022,PAK,5.6,6.6,5.8,20.28,25.0,25.12,42.14,4.71,13.96
2022,PRY,6.75,48.11,6.2,45.28,30.19,47.83,57.79,0.08,7.57
2022,PER,3.85,27.83,4.2,59.91,32.55,49.76,48.1,2.68,4.38
2022,PRT,6.01,75.94,1.9,75.0,83.96,89.86,84.84,6.83,5.0
2022,ROU,5.61,60.85,2.8,63.68,62.26,63.77,76.8,4.6,13.35
2022,RUS,3.87,16.04,7.2,13.21,12.26,14.49,93.39,-2.07,15.8
2022,SEN,3.01,40.57,5.4,41.04,42.92,54.11,35.64,4.15,8.45
2022,ESP,12.92,53.3,1.5,75.94,77.36,79.71,84.66,5.77,4.14
2022,UKR,33.3,5.66,18.1,40.57,18.87,45.89,82.4,-29.1,34.32
2022,GBR,3.73,62.26,1.7,93.4,89.15,89.37,84.33,4.35,5.15
2022,USA,3.65,45.28,6.2,91.04,88.68,72.95,93.72,1.94,7.04
2022,VEN,5.62,12.26,15.5,2.36,0.47,6.76,59.85,8.0,1203.15
