País de nacimiento;Nacionalidad;Edad;Sexo;Periodo;Total
Total;UE27_2020 sin España;Total;Ambos Sexos;2021;191.558
Total;UE27_2020 sin España;Total;Hombre;2022;100.216
Total;UE27_2020 sin España;Total;Hombre;2021;99.295
Total;UE27_2020 sin España;Total;Mujer;2022;94.268
Total;UE27_2020 sin España;Total;Mujer;2021;92.263
Total;UE27_2020 sin España;De 0 a 15 años;Ambos Sexos;2022;22.917
Total;UE27_2020 sin España;De 0 a 15 años;Ambos Sexos;2021;19.474
Total;UE27_2020 sin España;De 0 a 15 años;Hombre;2022;11.740
Total;UE27_2020 sin España;De 0 a 15 años;Hombre;2021;10.019
Total;UE27_2020 sin España;De 0 a 15 años;Mujer;2022;11.177
Total;UE27_2020 sin España;De 0 a 15 años;Mujer;2021;9.455
Total;UE27_2020 sin España;De 16 a 24 años;Ambos Sexos;2022;25.183
Total;UE27_2020 sin España;De 16 a 24 años;Ambos Sexos;2021;25.209
Total;UE27_2020 sin España;De 16 a 24 años;Hombre;2022;12.013
Total;UE27_2020 sin España;De 16 a 24 años;Hombre;2021;12.087
Total;UE27_2020 sin España;De 16 a 24 años;Mujer;2022;13.170
Total;UE27_2020 sin España;De 16 a 24 años;Mujer;2021;13.122
Total;UE27_2020 sin España;De 25 a 34 años;Ambos Sexos;2022;44.604
Total;UE27_2020 sin España;De 25 a 34 años;Ambos Sexos;2021;41.863
Total;UE27_2020 sin España;De 25 a 34 años;Hombre;2022;22.634
Total;UE27_2020 sin España;De 25 a 34 años;Hombre;2021;21.558
Total;UE27_2020 sin España;De 25 a 34 años;Mujer;2022;21.970
Total;UE27_2020 sin España;De 25 a 34 años;Mujer;2021;20.305
Total;UE27_2020 sin España;De 35 a 44 años;Ambos Sexos;2022;37.495
Total;UE27_2020 sin España;De 35 a 44 años;Ambos Sexos;2021;33.837
Total;UE27_2020 sin España;De 35 a 44 años;Hombre;2022;19.961
Total;UE27_2020 sin España;De 35 a 44 años;Hombre;2021;18.559
Total;UE27_2020 sin España;De 35 a 44 años;Mujer;2022;17.534
Total;UE27_2020 sin España;De 35 a 44 años;Mujer;2021;15.278
Total;UE27_2020 sin España;De 45 a 54 años;Ambos Sexos;2022;28.745
Total;UE27_2020 sin España;De 45 a 54 años;Ambos Sexos;2021;27.534
Total;UE27_2020 sin España;De 45 a 54 años;Hombre;2022;15.711
Total;UE27_2020 sin España;De 45 a 54 años;Hombre;2021;15.115
Total;UE27_2020 sin España;De 45 a 54 años;Mujer;2022;13.034
Total;UE27_2020 sin España;De 45 a 54 años;Mujer;2021;12.419
Total;UE27_2020 sin España;De 55 a 64 años;Ambos Sexos;2022;19.861
Total;UE27_2020 sin España;De 55 a 64 años;Ambos Sexos;2021;21.543
Total;UE27_2020 sin España;De 55 a 64 años;Hombre;2022;10.286
Total;UE27_2020 sin España;De 55 a 64 años;Hombre;2021;10.986
Total;UE27_2020 sin España;De 55 a 64 años;Mujer;2022;9.575
Total;UE27_2020 sin España;De 55 a 64 años;Mujer;2021;10.557
Total;UE27_2020 sin España;De 65 y más años;Ambos Sexos;2022;15.679
Total;UE27_2020 sin España;De 65 y más años;Ambos Sexos;2021;22.098
Total;UE27_2020 sin España;De 65 y más años;Hombre;2022;7.871
Total;UE27_2020 sin España;De 65 y más años;Hombre;2021;10.971
Total;UE27_2020 sin España;De 65 y más años;Mujer;2022;7.808
Total;UE27_2020 sin España;De 65 y más años;Mujer;2021;11.127
Total;Bélgica;Total;Ambos Sexos;2022;5.853
Total;Bélgica;Total;Ambos Sexos;2021;6.524
Total;Bélgica;Total;Hombre;2022;3.124
Total;Bélgica;Total;Hombre;2021;3.470
Total;Bélgica;Total;Mujer;2022;2.729
Total;Bélgica;Total;Mujer;2021;3.054
Total;Bélgica;De 0 a 15 años;Ambos Sexos;2022;585
Total;Bélgica;De 0 a 15 años;Ambos Sexos;2021;512
Total;Bélgica;De 0 a 15 años;Hombre;2022;299
Total;Bélgica;De 0 a 15 años;Hombre;2021;274
Total;Bélgica;De 0 a 15 años;Mujer;2022;286
Total;Bélgica;De 0 a 15 años;Mujer;2021;238
Total;Bélgica;De 16 a 24 años;Ambos Sexos;2022;380
Total;Bélgica;De 16 a 24 años;Ambos Sexos;2021;388
Total;Bélgica;De 16 a 24 años;Hombre;2022;189
Total;Bélgica;De 16 a 24 años;Hombre;2021;196
Total;Bélgica;De 16 a 24 años;Mujer;2022;191
Total;Bélgica;De 16 a 24 años;Mujer;2021;192
Total;Bélgica;De 25 a 34 años;Ambos Sexos;2022;732
Total;Bélgica;De 25 a 34 años;Ambos Sexos;2021;663
Total;Bélgica;De 25 a 34 años;Hombre;2022;400
Total;Bélgica;De 25 a 34 años;Hombre;2021;349
Total;Bélgica;De 25 a 34 años;Mujer;2022;332
Total;Bélgica;De 25 a 34 años;Mujer;2021;314
Total;Bélgica;De 35 a 44 años;Ambos Sexos;2022;701
Total;Bélgica;De 35 a 44 años;Ambos Sexos;2021;594
Total;Bélgica;De 35 a 44 años;Hombre;2022;401
Total;Bélgica;De 35 a 44 años;Hombre;2021;338
Total;Bélgica;De 35 a 44 años;Mujer;2022;300
Total;Bélgica;De 35 a 44 años;Mujer;2021;256
Total;Bélgica;De 45 a 54 años;Ambos Sexos;2022;861
Total;Bélgica;De 45 a 54 años;Ambos Sexos;2021;888
Total;Bélgica;De 45 a 54 años;Hombre;2022;444
Total;Bélgica;De 45 a 54 años;Hombre;2021;475
Total;Bélgica;De 45 a 54 años;Mujer;2022;417
Total;Bélgica;De 45 a 54 años;Mujer;2021;413
Total;Bélgica;De 55 a 64 años;Ambos Sexos;2022;1.364
Total;Bélgica;De 55 a 64 años;Ambos Sexos;2021;1.701
Total;Bélgica;De 55 a 64 años;Hombre;2022;700
Total;Bélgica;De 55 a 64 años;Hombre;2021;869
Total;Bélgica;De 55 a 64 años;Mujer;2022;664
Total;Bélgica;De 55 a 64 años;Mujer;2021;832
