País de nacimiento;Nacionalidad;Edad;Sexo;Periodo;Total
Total;Venezuela;De 35 a 44 años;Hombre;2021;2.834
Total;Venezuela;De 35 a 44 años;Mujer;2022;6.730
Total;Venezuela;De 35 a 44 años;Mujer;2021;3.304
Total;Venezuela;De 45 a 54 años;Ambos Sexos;2022;7.801
Total;Venezuela;De 45 a 54 años;Ambos Sexos;2021;3.851
Total;Venezuela;De 45 a 54 años;Hombre;2022;2.874
Total;Venezuela;De 45 a 54 años;Hombre;2021;1.415
Total;Venezuela;De 45 a 54 años;Mujer;2022;4.927
Total;Venezuela;De 45 a 54 años;Mujer;2021;2.436
Total;Venezuela;De 55 a 64 años;Ambos Sexos;2022;5.519
Total;Venezuela;De 55 a 64 años;Ambos Sexos;2021;3.353
Total;Venezuela;De 55 a 64 años;Hombre;2022;1.606
Total;Venezuela;De 55 a 64 años;Hombre;2021;1.001
Total;Venezuela;De 55 a 64 años;Mujer;2022;3.913
Total;Venezuela;De 55 a 64 años;Mujer;2021;2.352
Total;Venezuela;De 65 y más años;Ambos Sexos;2022;4.665
Total;Venezuela;De 65 y más años;Ambos Sexos;2021;3.018
Total;Venezuela;De 65 y más años;Hombre;2022;1.407
Total;Venezuela;De 65 y más años;Hombre;2021;950
Total;Venezuela;De 65 y más años;Mujer;2022;3.258
Total;Venezuela;De 65 y más años;Mujer;2021;2.068
Total;Otro país de Sudamérica;Total;Ambos Sexos;2022;11
Total;Otro país de Sudamérica;Total;Ambos Sexos;2021;16
Total;Otro país de Sudamérica;Total;Hombre;2022;7
Total;Otro país de Sudamérica;Total;Hombre;2021;7
Total;Otro país de Sudamérica;Total;Mujer;2022;4
Total;Otro país de Sudamérica;Total;Mujer;2021;9
Total;Otro país de Sudamérica;De 0 a 15 años;Ambos Sexos;2022;4
Total;Otro país de Sudamérica;De 0 a 15 años;Ambos Sexos;2021;0
Total;Otro país de Sudamérica;De 0 a 15 años;Hombre;2022;3
Total;Otro país de Sudamérica;De 0 a 15 años;Hombre;2021;0
Total;Otro país de Sudamérica;De 0 a 15 años;Mujer;2022;1
Total;Otro país de Sudamérica;De 0 a 15 años;Mujer;2021;0
Total;Otro país de Sudamérica;De 16 a 24 años;Ambos Sexos;2022;2
Total;Otro país de Sudamérica;De 16 a 24 años;Ambos Sexos;2021;1
Total;Otro país de Sudamérica;De 16 a 24 años;Hombre;2022;1
Total;Otro país de Sudamérica;De 16 a 24 años;Hombre;2021;1
Total;Otro país de Sudamérica;De 16 a 24 años;Mujer;2022;1
Total;Otro país de Sudamérica;De 16 a 24 años;Mujer;2021;0
Total;Otro país de Sudamérica;De 25 a 34 años;Ambos Sexos;2022;2
Total;Otro país de Sudamérica;De 25 a 34 años;Ambos Sexos;2021;5
Total;Otro país de Sudamérica;De 25 a 34 años;Hombre;2022;1
Total;Otro país de Sudamérica;De 25 a 34 años;Hombre;2021;1
Total;Otro país de Sudamérica;De 25 a 34 años;Mujer;2022;1
Total;Otro país de Sudamérica;De 25 a 34 años;Mujer;2021;4
Total;Otro país de Sudamérica;De 35 a 44 años;Ambos Sexos;2022;0
Total;Otro país de Sudamérica;De 35 a 44 años;Ambos Sexos;2021;5
Total;Otro país de Sudamérica;De 35 a 44 años;Hombre;2022;0
Total;Otro país de Sudamérica;De 35 a 44 años;Hombre;2021;2
Total;Otro país de Sudamérica;De 35 a 44 años;Mujer;2022;0
Total;Otro país de Sudamérica;De 35 a 44 años;Mujer;2021;3
Total;Otro país de Sudamérica;De 45 a 54 años;Ambos Sexos;2022;1
Total;Otro país de Sudamérica;De 45 a 54 años;Ambos Sexos;2021;0
Total;Otro país de Sudamérica;De 45 a 54 años;Hombre;2022;1
Total;Otro país de Sudamérica;De 45 a 54 años;Hombre;2021;0
Total;Otro país de Sudamérica;De 45 a 54 años;Mujer;2022;0
Total;Otro país de Sudamérica;De 45 a 54 años;Mujer;2021;0
Total;Otro país de Sudamérica;De 55 a 64 años;Ambos Sexos;2022;2
Total;Otro país de Sudamérica;De 55 a 64 años;Ambos Sexos;2021;4
Total;Otro país de Sudamérica;De 55 a 64 años;Hombre;2022;1
Total;Otro país de Sudamérica;De 55 a 64 años;Hombre;2021;2
Total;Otro país de Sudamérica;De 55 a 64 años;Mujer;2022;1
Total;Otro país de Sudamérica;De 55 a 64 años;Mujer;2021;2
Total;Otro país de Sudamérica;De 65 y más años;Ambos Sexos;2022;0
Total;Otro país de Sudamérica;De 65 y más años;Ambos Sexos;2021;1
Total;Otro país de Sudamérica;De 65 y más años;Hombre;2022;0
Total;Otro país de Sudamérica;De 65 y más años;Hombre;2021;1
Total;Otro país de Sudamérica;De 65 y más años;Mujer;2022;0
Total;Otro país de Sudamérica;De 65 y más años;Mujer;2021;0
Total;De Asia;Total;Ambos Sexos;2022;59.521
Total;De Asia;Total;Ambos Sexos;2021;58.465
Total;De Asia;Total;Hombre;2022;33.720
Total;De Asia;Total;Hombre;2021;31.915
Total;De Asia;Total;Mujer;2022;25.801
Total;De Asia;Total;Mujer;2021;26.550
Total;De Asia;De 0 a 15 años;Ambos Sexos;2022;8.016
Total;De Asia;De 0 a 15 años;Ambos Sexos;2021;8.055
Total;De Asia;De 0 a 15 años;Hombre;2022;4.444
Total;De Asia;De 0 a 15 años;Hombre;2021;4.455
Total;De Asia;De 0 a 15 años;Mujer;2022;3.572
Total;De Asia;De 0 a 15 años;Mujer;2021;3.600
Total;De Asia;De 16 a 24 años;Ambos Sexos;2022;12.581
Total;De Asia;De 16 a 24 años;Ambos Sexos;2021;12.223
Total;De Asia;De 16 a 24 años;Hombre;2022;7.603
Total;De Asia;De 16 a 24 años;Hombre;2021;6.835
Total;De Asia;De 16 a 24 años;Mujer;2022;4.978
Total;De Asia;De 16 a 24 años;Mujer;2021;5.388
Total;De Asia;De 25 a 34 años;Ambos Sexos;2022;16.968
Total;De Asia;De 25 a 34 años;Ambos Sexos;2021;15.817
Total;De Asia;De 25 a 34 años;Hombre;2022;9.636
Total;De Asia;De 25 a 34 años;Hombre;2021;8.370
Total;De Asia;De 25 a 34 años;Mujer;2022;7.332
Total;De Asia;De 25 a 34 años;Mujer;2021;7.447
Total;De Asia;De 35 a 44 años;Ambos Sexos;2022;11.454
Total;De Asia;De 35 a 44 años;Ambos Sexos;2021;10.932
Total;De Asia;De 35 a 44 años;Hombre;2022;6.420
Total;De Asia;De 35 a 44 años;Hombre;2021;5.955
Total;De Asia;De 35 a 44 años;Mujer;2022;5.034
Total;De Asia;De 35 a 44 años;Mujer;2021;4.977
Total;De Asia;De 45 a 54 años;Ambos Sexos;2022;6.281
Total;De Asia;De 45 a 54 años;Ambos Sexos;2021;7.028
Total;De Asia;De 45 a 54 años;Hombre;2022;3.452
Total;De Asia;De 45 a 54 años;Hombre;2021;3.844
Total;De Asia;De 45 a 54 años;Mujer;2022;2.829
Total;De Asia;De 45 a 54 años;Mujer;2021;3.184
Total;De Asia;De 55 a 64 años;Ambos Sexos;2022;2.972
Total;De Asia;De 55 a 64 años;Ambos Sexos;2021;3.300
Total;De Asia;De 55 a 64 años;Hombre;2022;1.572
Total;De Asia;De 55 a 64 años;Hombre;2021;1.909
Total;De Asia;De 55 a 64 años;Mujer;2022;1.400
Total;De Asia;De 55 a 64 años;Mujer;2021;1.391
Total;De Asia;De 65 y más años;Ambos Sexos;2022;1.249
Total;De Asia;De 65 y más años;Ambos Sexos;2021;1.110
Total;De Asia;De 65 y más años;Hombre;2022;593
Total;De Asia;De 65 y más años;Hombre;2021;547
Total;De Asia;De 65 y más años;Mujer;2022;656
Total;De Asia;De 65 y más años;Mujer;2021;563
Total;Bangladesh;Total;Ambos Sexos;2022;2.558
Total;Bangladesh;Total;Ambos Sexos;2021;2.091
Total;Bangladesh;Total;Hombre;2022;1.848
Total;Bangladesh;Total;Hombre;2021;1.368
Total;Bangladesh;Total;Mujer;2022;710
Total;Bangladesh;Total;Mujer;2021;723
Total;Bangladesh;De 0 a 15 años;Ambos Sexos;2022;241
Total;Bangladesh;De 0 a 15 años;Ambos Sexos;2021;305
Total;Bangladesh;De 0 a 15 años;Hombre;2022;121
Total;Bangladesh;De 0 a 15 años;Hombre;2021;157
Total;Bangladesh;De 0 a 15 años;Mujer;2022;120
Total;Bangladesh;De 0 a 15 años;Mujer;2021;148
Total;Bangladesh;De 16 a 24 años;Ambos Sexos;2022;521
Total;Bangladesh;De 16 a 24 años;Ambos Sexos;2021;367
Total;Bangladesh;De 16 a 24 años;Hombre;2022;330
Total;Bangladesh;De 16 a 24 años;Hombre;2021;196
Total;Bangladesh;De 16 a 24 años;Mujer;2022;191
Total;Bangladesh;De 16 a 24 años;Mujer;2021;171
Total;Bangladesh;De 25 a 34 años;Ambos Sexos;2022;1.026
Total;Bangladesh;De 25 a 34 años;Ambos Sexos;2021;776
Total;Bangladesh;De 25 a 34 años;Hombre;2022;769
Total;Bangladesh;De 25 a 34 años;Hombre;2021;520
Total;Bangladesh;De 25 a 34 años;Mujer;2022;257
Total;Bangladesh;De 25 a 34 años;Mujer;2021;256
Total;Bangladesh;De 35 a 44 años;Ambos Sexos;2022;541
Total;Bangladesh;De 35 a 44 años;Ambos Sexos;2021;468
Total;Bangladesh;De 35 a 44 años;Hombre;2022;445
Total;Bangladesh;De 35 a 44 años;Hombre;2021;359
Total;Bangladesh;De 35 a 44 años;Mujer;2022;96
Total;Bangladesh;De 35 a 44 años;Mujer;2021;109
Total;Bangladesh;De 45 a 54 años;Ambos Sexos;2022;190
Total;Bangladesh;De 45 a 54 años;Ambos Sexos;2021;135
Total;Bangladesh;De 45 a 54 años;Hombre;2022;157
Total;Bangladesh;De 45 a 54 años;Hombre;2021;109
Total;Bangladesh;De 45 a 54 años;Mujer;2022;33
Total;Bangladesh;De 45 a 54 años;Mujer;2021;26
Total;Bangladesh;De 55 a 64 años;Ambos Sexos;2022;30
Total;Bangladesh;De 55 a 64 años;Ambos Sexos;2021;30
Total;Bangladesh;De 55 a 64 años;Hombre;2022;22
Total;Bangladesh;De 55 a 64 años;Hombre;2021;22
Total;Bangladesh;De 55 a 64 años;Mujer;2022;8
Total;Bangladesh;De 55 a 64 años;Mujer;2021;8
Total;Bangladesh;De 65 y más años;Ambos Sexos;2022;9
Total;Bangladesh;De 65 y más años;Ambos Sexos;2021;10
Total;Bangladesh;De 65 y más años;Hombre;2022;4
Total;Bangladesh;De 65 y más años;Hombre;2021;5
Total;Bangladesh;De 65 y más años;Mujer;2022;5
Total;Bangladesh;De 65 y más años;Mujer;2021;5
Total;China;Total;Ambos Sexos;2022;14.320
Total;China;Total;Ambos Sexos;2021;18.249
Total;China;Total;Hombre;2022;6.618
Total;China;Total;Hombre;2021;8.827
Total;China;Total;Mujer;2022;7.702
Total;China;Total;Mujer;2021;9.422
Total;China;De 0 a 15 años;Ambos Sexos;2022;1.191
Total;China;De 0 a 15 años;Ambos Sexos;2021;1.346
Total;China;De 0 a 15 años;Hombre;2022;637
Total;China;De 0 a 15 años;Hombre;2021;718
Total;China;De 0 a 15 años;Mujer;2022;554
Total;China;De 0 a 15 años;Mujer;2021;628
Total;China;De 16 a 24 años;Ambos Sexos;2022;3.282
Total;China;De 16 a 24 años;Ambos Sexos;2021;4.307
Total;China;De 16 a 24 años;Hombre;2022;1.438
Total;China;De 16 a 24 años;Hombre;2021;1.966
Total;China;De 16 a 24 años;Mujer;2022;1.844
Total;China;De 16 a 24 años;Mujer;2021;2.341
Total;China;De 25 a 34 años;Ambos Sexos;2022;3.276
Total;China;De 25 a 34 años;Ambos Sexos;2021;4.014
Total;China;De 25 a 34 años;Hombre;2022;1.385
Total;China;De 25 a 34 años;Hombre;2021;1.837
Total;China;De 25 a 34 años;Mujer;2022;1.891
Total;China;De 25 a 34 años;Mujer;2021;2.177
Total;China;De 35 a 44 años;Ambos Sexos;2022;2.541
Total;China;De 35 a 44 años;Ambos Sexos;2021;3.168
Total;China;De 35 a 44 años;Hombre;2022;1.205
Total;China;De 35 a 44 años;Hombre;2021;1.542
Total;China;De 35 a 44 años;Mujer;2022;1.336
Total;China;De 35 a 44 años;Mujer;2021;1.626
Total;China;De 45 a 54 años;Ambos Sexos;2022;2.252
Total;China;De 45 a 54 años;Ambos Sexos;2021;3.308
Total;China;De 45 a 54 años;Hombre;2022;1.083
Total;China;De 45 a 54 años;Hombre;2021;1.624
Total;China;De 45 a 54 años;Mujer;2022;1.169
Total;China;De 45 a 54 años;Mujer;2021;1.684
Total;China;De 55 a 64 años;Ambos Sexos;2022;1.325
Total;China;De 55 a 64 años;Ambos Sexos;2021;1.697
Total;China;De 55 a 64 años;Hombre;2022;657
Total;China;De 55 a 64 años;Hombre;2021;947
Total;China;De 55 a 64 años;Mujer;2022;668
Total;China;De 55 a 64 años;Mujer;2021;750
Total;China;De 65 y más años;Ambos Sexos;2022;453
Total;China;De 65 y más años;Ambos Sexos;2021;409
Total;China;De 65 y más años;Hombre;2022;213
Total;China;De 65 y más años;Hombre;2021;193
Total;China;De 65 y más años;Mujer;2022;240
Total;China;De 65 y más años;Mujer;2021;216
Total;Filipinas;Total;Ambos Sexos;2022;4.105
Total;Filipinas;Total;Ambos Sexos;2021;3.580
Total;Filipinas;Total;Hombre;2022;1.410
Total;Filipinas;Total;Hombre;2021;1.163
Total;Filipinas;Total;Mujer;2022;2.695
Total;Filipinas;Total;Mujer;2021;2.417
Total;Filipinas;De 0 a 15 años;Ambos Sexos;2022;291
Total;Filipinas;De 0 a 15 años;Ambos Sexos;2021;216
Total;Filipinas;De 0 a 15 años;Hombre;2022;146
Total;Filipinas;De 0 a 15 años;Hombre;2021;111
Total;Filipinas;De 0 a 15 años;Mujer;2022;145
Total;Filipinas;De 0 a 15 años;Mujer;2021;105
Total;Filipinas;De 16 a 24 años;Ambos Sexos;2022;597
Total;Filipinas;De 16 a 24 años;Ambos Sexos;2021;619
Total;Filipinas;De 16 a 24 años;Hombre;2022;246
Total;Filipinas;De 16 a 24 años;Hombre;2021;241
Total;Filipinas;De 16 a 24 años;Mujer;2022;351
Total;Filipinas;De 16 a 24 años;Mujer;2021;378
Total;Filipinas;De 25 a 34 años;Ambos Sexos;2022;1.294
Total;Filipinas;De 25 a 34 años;Ambos Sexos;2021;1.117
Total;Filipinas;De 25 a 34 años;Hombre;2022;384
Total;Filipinas;De 25 a 34 años;Hombre;2021;292
Total;Filipinas;De 25 a 34 años;Mujer;2022;910
Total;Filipinas;De 25 a 34 años;Mujer;2021;825
Total;Filipinas;De 35 a 44 años;Ambos Sexos;2022;1.059
Total;Filipinas;De 35 a 44 años;Ambos Sexos;2021;847
Total;Filipinas;De 35 a 44 años;Hombre;2022;320
Total;Filipinas;De 35 a 44 años;Hombre;2021;242
Total;Filipinas;De 35 a 44 años;Mujer;2022;739
Total;Filipinas;De 35 a 44 años;Mujer;2021;605
Total;Filipinas;De 45 a 54 años;Ambos Sexos;2022;548
Total;Filipinas;De 45 a 54 años;Ambos Sexos;2021;459
Total;Filipinas;De 45 a 54 años;Hombre;2022;200
Total;Filipinas;De 45 a 54 años;Hombre;2021;159
Total;Filipinas;De 45 a 54 años;Mujer;2022;348
Total;Filipinas;De 45 a 54 años;Mujer;2021;300
Total;Filipinas;De 55 a 64 años;Ambos Sexos;2022;229
Total;Filipinas;De 55 a 64 años;Ambos Sexos;2021;240
Total;Filipinas;De 55 a 64 años;Hombre;2022;86
Total;Filipinas;De 55 a 64 años;Hombre;2021;94
Total;Filipinas;De 55 a 64 años;Mujer;2022;143
Total;Filipinas;De 55 a 64 años;Mujer;2021;146
Total;Filipinas;De 65 y más años;Ambos Sexos;2022;87
Total;Filipinas;De 65 y más años;Ambos Sexos;2021;82
Total;Filipinas;De 65 y más años;Hombre;2022;28
Total;Filipinas;De 65 y más años;Hombre;2021;24
Total;Filipinas;De 65 y más años;Mujer;2022;59
Total;Filipinas;De 65 y más años;Mujer;2021;58
Total;India;Total;Ambos Sexos;2022;8.120
Total;India;Total;Ambos Sexos;2021;5.797
Total;India;Total;Hombre;2022;5.107
Total;India;Total;Hombre;2021;3.341
Total;India;Total;Mujer;2022;3.013
Total;India;Total;Mujer;2021;2.456
Total;India;De 0 a 15 años;Ambos Sexos;2022;880
Total;India;De 0 a 15 años;Ambos Sexos;2021;677
Total;India;De 0 a 15 años;Hombre;2022;473
Total;India;De 0 a 15 años;Hombre;2021;395
Total;India;De 0 a 15 años;Mujer;2022;407
Total;India;De 0 a 15 años;Mujer;2021;282
Total;India;De 16 a 24 años;Ambos Sexos;2022;1.697
Total;India;De 16 a 24 años;Ambos Sexos;2021;1.113
Total;India;De 16 a 24 años;Hombre;2022;1.251
Total;India;De 16 a 24 años;Hombre;2021;664
Total;India;De 16 a 24 años;Mujer;2022;446
Total;India;De 16 a 24 años;Mujer;2021;449
Total;India;De 25 a 34 años;Ambos Sexos;2022;3.094
Total;India;De 25 a 34 años;Ambos Sexos;2021;2.203
Total;India;De 25 a 34 años;Hombre;2022;1.911
Total;India;De 25 a 34 años;Hombre;2021;1.209
Total;India;De 25 a 34 años;Mujer;2022;1.183
Total;India;De 25 a 34 años;Mujer;2021;994
Total;India;De 35 a 44 años;Ambos Sexos;2022;1.542
Total;India;De 35 a 44 años;Ambos Sexos;2021;1.100
Total;India;De 35 a 44 años;Hombre;2022;957
Total;India;De 35 a 44 años;Hombre;2021;641
Total;India;De 35 a 44 años;Mujer;2022;585
Total;India;De 35 a 44 años;Mujer;2021;459
Total;India;De 45 a 54 años;Ambos Sexos;2022;510
Total;India;De 45 a 54 años;Ambos Sexos;2021;423
Total;India;De 45 a 54 años;Hombre;2022;321
Total;India;De 45 a 54 años;Hombre;2021;255
Total;India;De 45 a 54 años;Mujer;2022;189
Total;India;De 45 a 54 años;Mujer;2021;168
Total;India;De 55 a 64 años;Ambos Sexos;2022;225
Total;India;De 55 a 64 años;Ambos Sexos;2021;182
Total;India;De 55 a 64 años;Hombre;2022;122
Total;India;De 55 a 64 años;Hombre;2021;126
Total;India;De 55 a 64 años;Mujer;2022;103
Total;India;De 55 a 64 años;Mujer;2021;56
Total;India;De 65 y más años;Ambos Sexos;2022;172
Total;India;De 65 y más años;Ambos Sexos;2021;99
Total;India;De 65 y más años;Hombre;2022;72
Total;India;De 65 y más años;Hombre;2021;51
Total;India;De 65 y más años;Mujer;2022;100
Total;India;De 65 y más años;Mujer;2021;48
Total;Pakistán;Total;Ambos Sexos;2022;16.599
Total;Pakistán;Total;Ambos Sexos;2021;15.890
Total;Pakistán;Total;Hombre;2022;11.631
Total;Pakistán;Total;Hombre;2021;10.557
Total;Pakistán;Total;Mujer;2022;4.968
Total;Pakistán;Total;Mujer;2021;5.333
Total;Pakistán;De 0 a 15 años;Ambos Sexos;2022;2.916
Total;Pakistán;De 0 a 15 años;Ambos Sexos;2021;3.079
Total;Pakistán;De 0 a 15 años;Hombre;2022;1.692
Total;Pakistán;De 0 a 15 años;Hombre;2021;1.754
Total;Pakistán;De 0 a 15 años;Mujer;2022;1.224
Total;Pakistán;De 0 a 15 años;Mujer;2021;1.325
Total;Pakistán;De 16 a 24 años;Ambos Sexos;2022;3.635
Total;Pakistán;De 16 a 24 años;Ambos Sexos;2021;3.322
Total;Pakistán;De 16 a 24 años;Hombre;2022;2.862
Total;Pakistán;De 16 a 24 años;Hombre;2021;2.397
Total;Pakistán;De 16 a 24 años;Mujer;2022;773
Total;Pakistán;De 16 a 24 años;Mujer;2021;925
Total;Pakistán;De 25 a 34 años;Ambos Sexos;2022;4.799
Total;Pakistán;De 25 a 34 años;Ambos Sexos;2021;4.415
Total;Pakistán;De 25 a 34 años;Hombre;2022;3.497
Total;Pakistán;De 25 a 34 años;Hombre;2021;2.909
Total;Pakistán;De 25 a 34 años;Mujer;2022;1.302
Total;Pakistán;De 25 a 34 años;Mujer;2021;1.506
Total;Pakistán;De 35 a 44 años;Ambos Sexos;2022;3.145
Total;Pakistán;De 35 a 44 años;Ambos Sexos;2021;2.946
Total;Pakistán;De 35 a 44 años;Hombre;2022;2.144
Total;Pakistán;De 35 a 44 años;Hombre;2021;1.946
Total;Pakistán;De 35 a 44 años;Mujer;2022;1.001
Total;Pakistán;De 35 a 44 años;Mujer;2021;1.000
Total;Pakistán;De 45 a 54 años;Ambos Sexos;2022;1.459
Total;Pakistán;De 45 a 54 años;Ambos Sexos;2021;1.512
Total;Pakistán;De 45 a 54 años;Hombre;2022;1.007
Total;Pakistán;De 45 a 54 años;Hombre;2021;1.099
Total;Pakistán;De 45 a 54 años;Mujer;2022;452
Total;Pakistán;De 45 a 54 años;Mujer;2021;413
Total;Pakistán;De 55 a 64 años;Ambos Sexos;2022;476
Total;Pakistán;De 55 a 64 años;Ambos Sexos;2021;483
Total;Pakistán;De 55 a 64 años;Hombre;2022;330
Total;Pakistán;De 55 a 64 años;Hombre;2021;369
Total;Pakistán;De 55 a 64 años;Mujer;2022;146
Total;Pakistán;De 55 a 64 años;Mujer;2021;114
Total;Pakistán;De 65 y más años;Ambos Sexos;2022;169
Total;Pakistán;De 65 y más años;Ambos Sexos;2021;133
Total;Pakistán;De 65 y más años;Hombre;2022;99
Total;Pakistán;De 65 y más años;Hombre;2021;83
Total;Pakistán;De 65 y más años;Mujer;2022;70
Total;Pakistán;De 65 y más años;Mujer;2021;50
Total;Otro país de Asia;Total;Ambos Sexos;2022;13.819
Total;Otro país de Asia;Total;Ambos Sexos;2021;12.858
Total;Otro país de Asia;Total;Hombre;2022;7.106
Total;Otro país de Asia;Total;Hombre;2021;6.659
Total;Otro país de Asia;Total;Mujer;2022;6.713
Total;Otro país de Asia;Total;Mujer;2021;6.199
Total;Otro país de Asia;De 0 a 15 años;Ambos Sexos;2022;2.497
Total;Otro país de Asia;De 0 a 15 años;Ambos Sexos;2021;2.432
Total;Otro país de Asia;De 0 a 15 años;Hombre;2022;1.375
Total;Otro país de Asia;De 0 a 15 años;Hombre;2021;1.320
Total;Otro país de Asia;De 0 a 15 años;Mujer;2022;1.122
Total;Otro país de Asia;De 0 a 15 años;Mujer;2021;1.112
Total;Otro país de Asia;De 16 a 24 años;Ambos Sexos;2022;2.849
Total;Otro país de Asia;De 16 a 24 años;Ambos Sexos;2021;2.495
Total;Otro país de Asia;De 16 a 24 años;Hombre;2022;1.476
Total;Otro país de Asia;De 16 a 24 años;Hombre;2021;1.371
Total;Otro país de Asia;De 16 a 24 años;Mujer;2022;1.373
Total;Otro país de Asia;De 16 a 24 años;Mujer;2021;1.124
Total;Otro país de Asia;De 25 a 34 años;Ambos Sexos;2022;3.479
Total;Otro país de Asia;De 25 a 34 años;Ambos Sexos;2021;3.292
Total;Otro país de Asia;De 25 a 34 años;Hombre;2022;1.690
Total;Otro país de Asia;De 25 a 34 años;Hombre;2021;1.603
Total;Otro país de Asia;De 25 a 34 años;Mujer;2022;1.789
Total;Otro país de Asia;De 25 a 34 años;Mujer;2021;1.689
Total;Otro país de Asia;De 35 a 44 años;Ambos Sexos;2022;2.626
Total;Otro país de Asia;De 35 a 44 años;Ambos Sexos;2021;2.403
Total;Otro país de Asia;De 35 a 44 años;Hombre;2022;1.349
Total;Otro país de Asia;De 35 a 44 años;Hombre;2021;1.225
Total;Otro país de Asia;De 35 a 44 años;Mujer;2022;1.277
Total;Otro país de Asia;De 35 a 44 años;Mujer;2021;1.178
Total;Otro país de Asia;De 45 a 54 años;Ambos Sexos;2022;1.322
Total;Otro país de Asia;De 45 a 54 años;Ambos Sexos;2021;1.191
Total;Otro país de Asia;De 45 a 54 años;Hombre;2022;684
Total;Otro país de Asia;De 45 a 54 años;Hombre;2021;598
Total;Otro país de Asia;De 45 a 54 años;Mujer;2022;638
Total;Otro país de Asia;De 45 a 54 años;Mujer;2021;593
Total;Otro país de Asia;De 55 a 64 años;Ambos Sexos;2022;687
Total;Otro país de Asia;De 55 a 64 años;Ambos Sexos;2021;668
Total;Otro país de Asia;De 55 a 64 años;Hombre;2022;355
Total;Otro país de Asia;De 55 a 64 años;Hombre;2021;351
Total;Otro país de Asia;De 55 a 64 años;Mujer;2022;332
Total;Otro país de Asia;De 55 a 64 años;Mujer;2021;317
Total;Otro país de Asia;De 65 y más años;Ambos Sexos;2022;359
Total;Otro país de Asia;De 65 y más años;Ambos Sexos;2021;377
Total;Otro país de Asia;De 65 y más años;Hombre;2022;177
Total;Otro país de Asia;De 65 y más años;Hombre;2021;191
Total;Otro país de Asia;De 65 y más años;Mujer;2022;182
Total;Otro país de Asia;De 65 y más años;Mujer;2021;186
Total;De Oceanía;Total;Ambos Sexos;2022;1.102
Total;De Oceanía;Total;Ambos Sexos;2021;727
Total;De Oceanía;Total;Hombre;2022;612
Total;De Oceanía;Total;Hombre;2021;427
Total;De Oceanía;Total;Mujer;2022;490
Total;De Oceanía;Total;Mujer;2021;300
Total;De Oceanía;De 0 a 15 años;Ambos Sexos;2022;199
Total;De Oceanía;De 0 a 15 años;Ambos Sexos;2021;75
Total;De Oceanía;De 0 a 15 años;Hombre;2022;97
Total;De Oceanía;De 0 a 15 años;Hombre;2021;50
Total;De Oceanía;De 0 a 15 años;Mujer;2022;102
Total;De Oceanía;De 0 a 15 años;Mujer;2021;25
Total;De Oceanía;De 16 a 24 años;Ambos Sexos;2022;141
Total;De Oceanía;De 16 a 24 años;Ambos Sexos;2021;83
Total;De Oceanía;De 16 a 24 años;Hombre;2022;70
Total;De Oceanía;De 16 a 24 años;Hombre;2021;49
Total;De Oceanía;De 16 a 24 años;Mujer;2022;71
Total;De Oceanía;De 16 a 24 años;Mujer;2021;34
Total;De Oceanía;De 25 a 34 años;Ambos Sexos;2022;242
Total;De Oceanía;De 25 a 34 años;Ambos Sexos;2021;219
Total;De Oceanía;De 25 a 34 años;Hombre;2022;134
Total;De Oceanía;De 25 a 34 años;Hombre;2021;130
Total;De Oceanía;De 25 a 34 años;Mujer;2022;108
Total;De Oceanía;De 25 a 34 años;Mujer;2021;89
Total;De Oceanía;De 35 a 44 años;Ambos Sexos;2022;216
Total;De Oceanía;De 35 a 44 años;Ambos Sexos;2021;136
Total;De Oceanía;De 35 a 44 años;Hombre;2022;141
Total;De Oceanía;De 35 a 44 años;Hombre;2021;74
Total;De Oceanía;De 35 a 44 años;Mujer;2022;75
Total;De Oceanía;De 35 a 44 años;Mujer;2021;62
Total;De Oceanía;De 45 a 54 años;Ambos Sexos;2022;156
Total;De Oceanía;De 45 a 54 años;Ambos Sexos;2021;97
Total;De Oceanía;De 45 a 54 años;Hombre;2022;85
Total;De Oceanía;De 45 a 54 años;Hombre;2021;56
Total;De Oceanía;De 45 a 54 años;Mujer;2022;71
Total;De Oceanía;De 45 a 54 años;Mujer;2021;41
Total;De Oceanía;De 55 a 64 años;Ambos Sexos;2022;89
Total;De Oceanía;De 55 a 64 años;Ambos Sexos;2021;63
Total;De Oceanía;De 55 a 64 años;Hombre;2022;48
Total;De Oceanía;De 55 a 64 años;Hombre;2021;39
Total;De Oceanía;De 55 a 64 años;Mujer;2022;41
Total;De Oceanía;De 55 a 64 años;Mujer;2021;24
Total;De Oceanía;De 65 y más años;Ambos Sexos;2022;59
Total;De Oceanía;De 65 y más años;Ambos Sexos;2021;54
Total;De Oceanía;De 65 y más años;Hombre;2022;37
Total;De Oceanía;De 65 y más años;Hombre;2021;29
Total;De Oceanía;De 65 y más años;Mujer;2022;22
Total;De Oceanía;De 65 y más años;Mujer;2021;25
Total;Apátridas;Total;Ambos Sexos;2022;403
Total;Apátridas;Total;Ambos Sexos;2021;407
Total;Apátridas;Total;Hombre;2022;281
Total;Apátridas;Total;Hombre;2021;289
Total;Apátridas;Total;Mujer;2022;122
Total;Apátridas;Total;Mujer;2021;118
Total;Apátridas;De 0 a 15 años;Ambos Sexos;2022;35
Total;Apátridas;De 0 a 15 años;Ambos Sexos;2021;19
Total;Apátridas;De 0 a 15 años;Hombre;2022;17
